PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,ORB,DRB,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,FGM,FGA,FG%,3P%,FT%,2P%,eFG%,TS%,USG%,EFF,PER,+/-,POSS,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,OWS,DWS,WS,BPM,OBPM,DBPM,VORP,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Brazdeikis I.,2024-2025,26,198,17.214285714285715,8.0,28,13,24,64,88,39,4,10,26,43,38,16,85,202,42.1,22.5,90.5,52.7,46.0,50.9,25.1,204,15.0,-17,246,108.6,110.4,-1.8,110.6,102.6,8.0,0.2,1.0,1.2,-2.7,-2.0,-0.7,-0.2,0.4642857142857143,1,5.142857142857143,7.5
Brizuela D.,2024-2025,30,187,17.833333333333332,9.333333333333334,30,18,8,34,42,65,3,12,35,53,36,48,98,211,46.4,42.5,78.3,51.0,57.8,61.1,22.8,240,16.0,90,264,120.4,115.5,4.9,121.7,109.9,11.8,1.1,1.0,2.1,-0.3,1.9,-2.2,0.6,0.6,3,8.971428571428572,8.0
Brooks A.,2024-2025,27,194,14.96875,7.625,32,17,14,51,65,25,3,16,17,45,28,50,83,193,43.0,41.3,96.6,45.8,56.0,59.5,22.4,196,16.4,7,222,118.0,116.0,2.0,116.9,108.5,8.4,0.4,0.8,1.2,-0.8,1.0,-1.8,0.3,0.53125,0,13.054054054054054,7.6
Brown L.,2024-2025,34,196,15.548387096774194,6.806451612903226,31,19,7,55,62,85,2,25,37,35,29,24,79,169,46.7,34.3,78.4,55.6,53.8,57.0,22.1,258,15.3,-14,222,112.0,115.2,-3.2,113.4,106.4,7.0,0.1,0.9,1.0,-0.1,0.4,-0.5,0.6,0.6129032258064516,7,5.833333333333333,7.2
Brown S.,2024-2025,30,198,25.96969696969697,12.606060606060606,33,16,21,79,100,71,6,27,45,72,39,69,154,293,52.6,47.6,92.9,57.4,64.3,67.3,20.5,391,18.0,62,354,117.9,114.8,3.1,123.1,107.3,15.8,1.2,1.5,2.6,2.2,2.4,-0.3,2.0,0.48484848484848486,3,13.722222222222221,10.1
Bryant E.,2024-2025,30,196,26.625,13.78125,32,19,18,114,132,105,7,36,71,84,78,45,159,346,46.0,37.2,88.6,50.7,52.5,58.3,25.7,470,16.4,75,449,119.7,113.4,6.3,116.7,104.2,12.5,0.8,2.0,2.8,1.0,0.5,0.5,1.7,0.59375,3,16.09090909090909,12.9
Butkevicius A.,2024-2025,32,197,22.28125,4.59375,32,15,31,90,121,36,10,34,24,82,26,27,47,114,41.2,38.0,74.3,46.5,53.1,56.5,10.5,213,10.7,55,154,109.6,104.3,5.3,105.2,94.9,10.3,0.0,2.1,2.0,2.4,-1.8,4.2,1.7,0.46875,5,5.7272727272727275,5.2
Calathes N.,2024-2025,36,198,18.454545454545453,4.181818181818182,11,7,4,23,27,45,1,10,17,23,0,6,20,55,36.4,21.4,0.0,51.9,41.8,41.1,17.1,55,8.7,-8,73,113.2,115.1,-1.9,99.5,105.4,-5.9,-0.2,0.5,0.3,-2.5,-2.5,0.1,-0.1,0.6363636363636364,9,4.266666666666667,6.6
Campazzo F.,2024-2025,34,179,25.939393939393938,12.242424242424242,33,20,23,77,100,210,2,37,78,73,120,42,121,271,44.6,31.6,87.0,57.2,52.4,61.7,22.7,593,18.5,137,406,120.1,112.0,8.1,132.0,104.3,27.7,2.9,2.0,4.8,3.3,3.8,-0.5,2.9,0.6060606060606061,7,11.72972972972973,11.1
Cavaliere L.,2024-2025,29,202,10.882352941176471,2.8823529411764706,34,19,36,51,87,14,0,9,17,68,14,4,40,63,63.5,44.4,70.0,66.7,66.7,67.6,11.2,123,12.2,-120,90,116.2,129.9,-13.7,124.5,117.3,7.2,0.3,0.3,0.6,-1.6,-2.4,0.7,0.1,0.5588235294117647,2,3.111111111111111,4.1
