PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,ORB,DRB,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,FGM,FGA,FG%,3P%,FT%,2P%,eFG%,TS%,USG%,EFF,PER,+/-,POSS,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,OWS,DWS,WS,BPM,OBPM,DBPM,VORP,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
James M.,2024-2025,34,185,29.205882352941178,15.764705882352942,34,21,12,86,98,195,1,36,60,55,134,60,171,441,38.8,31.6,77.9,44.2,45.6,52.1,27.9,580,18.0,87,575,116.4,112.1,4.3,118.2,104.6,13.6,1.9,2.4,4.3,1.4,3.0,-1.7,2.2,0.6176470588235294,7,16.363636363636363,15.0
Jantunen M.,2024-2025,25,204,25.11764705882353,7.852941176470588,34,19,51,108,159,34,7,26,17,88,28,53,93,196,47.4,39.8,82.4,63.5,61.0,63.0,12.6,325,13.2,230,229,118.8,106.5,12.3,122.9,98.3,24.6,0.7,2.4,3.1,2.3,0.8,1.4,2.3,0.5588235294117647,2,5.533333333333333,6.9
Jones C.,2024-2025,27,183,27.12121212121212,14.333333333333334,33,16,15,89,104,179,4,31,60,58,103,30,170,365,46.6,32.6,88.0,51.3,50.7,56.9,25.9,579,20.3,96,476,117.7,115.3,2.4,126.7,106.8,19.9,2.2,1.5,3.7,0.6,2.6,-2.0,1.3,0.48484848484848486,0,9.45945945945946,13.7
Jones T.,2024-2025,28,206,22.741935483870968,11.612903225806452,31,16,85,104,189,32,21,34,52,76,92,0,134,213,62.9,0.0,66.2,62.9,62.9,65.9,22.7,501,23.2,121,325,121.4,111.7,9.7,120.2,99.0,21.2,0.9,1.8,2.7,2.8,0.6,2.2,1.9,0.5161290322580645,1,7.666666666666667,9.5
Kalaitzakis P.,2024-2025,26,200,7.6,1.72,25,17,9,12,21,10,1,8,10,26,8,3,16,38,42.1,20.0,66.7,56.5,46.1,50.0,13.6,26,7.9,28,53,123.2,105.6,17.6,87.0,100.1,-13.1,-0.2,0.5,0.3,-1.8,-2.7,0.9,0.0,0.68,1,1.0,3.9
Kalinic N.,2024-2025,33,202,26.88235294117647,8.705882352941176,34,18,41,98,139,87,6,28,57,76,52,38,103,203,50.7,42.7,68.4,57.0,60.1,62.4,15.6,383,13.4,-21,295,112.1,113.5,-1.4,113.0,105.1,7.9,0.5,1.8,2.3,2.5,0.2,2.3,2.3,0.5294117647058824,6,6.054054054054054,7.2
Kratzer L.,2024-2025,28,212,9.73913043478261,0.7391304347826086,23,13,24,35,59,5,5,7,17,61,3,0,7,21,33.3,0.0,60.0,33.3,33.3,36.2,8.7,8,2.6,-22,41,115.0,117.2,-2.2,79.5,104.9,-25.4,-0.4,0.5,0.1,-4.1,-7.5,3.4,-0.3,0.5652173913043478,1,0.4444444444444444,3.8
Larkin S.,2024-2025,32,180,24.818181818181817,11.045454545454545,22,14,7,46,53,99,1,24,35,20,34,43,83,195,42.6,38.1,87.2,48.8,53.6,57.3,21.6,327,17.1,123,247,124.6,113.1,11.5,127.3,105.7,21.6,1.4,1.4,2.8,2.3,3.3,-1.0,1.7,0.6363636363636364,5,15.25,10.8
Leday Z.,2024-2025,31,201,27.676470588235293,16.029411764705884,34,17,24,128,152,40,4,25,44,67,162,55,164,324,50.6,46.2,91.5,53.2,59.1,68.4,23.6,661,20.4,-37,443,117.8,118.1,-0.3,120.0,110.1,9.9,1.2,1.4,2.5,0.7,1.9,-1.2,1.4,0.5,4,13.133333333333333,13.6
Lessort M.,2024-2025,29,206,26.529411764705884,13.411764705882353,17,10,47,73,120,27,12,17,33,37,56,0,86,118,72.9,0.0,60.9,74.1,72.9,70.8,21.0,348,23.6,57,194,120.9,113.1,7.8,125.8,102.5,23.3,0.9,1.0,1.9,4.7,2.2,2.6,1.8,0.5882352941176471,2,7.857142857142857,9.2
Lighty D.,2024-2025,37,195,19.424242424242426,4.424242424242424,33,13,10,49,59,34,2,17,21,81,14,28,52,124,41.9,40.6,77.8,43.6,53.2,55.3,11.9,106,7.0,-37,153,110.4,112.4,-2.0,98.1,105.3,-7.2,-0.3,1.3,1.0,-2.3,-2.7,0.4,-0.1,0.3939393939393939,10,4.125,4.9
Llull S.,2024-2025,37,190,16.558823529411764,6.676470588235294,34,20,13,30,43,73,0,12,25,47,29,48,75,220,34.1,30.6,78.4,42.9,45.0,48.9,21.6,176,10.0,27,257,109.8,109.5,0.3,109.9,105.9,4.0,0.0,1.4,1.4,-2.4,-0.2,-2.2,-0.1,0.5882352941176471,10,3.4545454545454546,6.6
Lo M.,2024-2025,32,191,17.571428571428573,10.321428571428571,28,16,10,32,42,62,1,13,39,31,28,39,111,242,45.9,33.6,77.8,57.1,53.9,57.0,27.5,228,17.1,-147,293,112.6,125.8,-13.2,119.2,117.0,2.2,0.8,0.4,1.2,-2.2,1.0,-3.3,-0.1,0.5714285714285714,5,7.083333333333333,9.7
Loyd J.,2024-2025,31,193,22.423076923076923,10.461538461538462,26,14,18,66,84,49,4,20,30,77,55,39,89,191,46.6,39.8,88.7,53.8,56.8,62.0,20.6,274,14.1,115,250,124.4,114.7,9.7,120.0,105.8,14.2,0.5,1.4,1.9,0.8,0.5,0.3,1.1,0.5384615384615384,4,15.5,10.5
Lucic V.,2024-2025,36,204,24.928571428571427,7.142857142857143,14,8,13,54,67,21,0,14,13,24,29,9,31,70,44.3,25.7,85.3,62.9,50.7,61.0,12.9,161,12.8,-9,95,117.1,118.1,-1.0,116.9,107.4,9.5,0.3,0.7,1.0,0.3,-0.6,0.9,0.5,0.5714285714285714,9,8.21875,6.3
Lundberg I.,2024-2025,30,193,25.48,8.24,25,12,14,43,57,76,0,23,29,50,40,36,65,183,35.5,35.6,80.0,35.4,45.4,50.5,18.3,193,10.9,67,233,120.6,115.5,5.1,115.1,107.0,8.1,0.4,1.1,1.5,-1.4,-0.4,-1.0,0.2,0.48,3,11.0,7.0
Luwawu Cabarrot T.,2024-2025,30,198,24.884615384615383,9.961538461538462,26,10,28,54,82,53,4,20,52,63,39,34,93,237,39.2,33.7,84.8,43.4,46.4,50.5,23.2,190,10.3,-11,309,110.6,111.8,-1.2,97.3,104.6,-7.3,-0.6,1.3,0.7,-3.1,-2.4,-0.7,-0.4,0.38461538461538464,3,18.4,10.5
Malcolm C.,2024-2025,27,200,19.103448275862068,7.9655172413793105,29,17,17,54,71,36,4,12,21,38,35,30,83,184,45.1,33.0,79.5,57.0,53.3,56.9,18.9,220,13.1,-18,224,119.4,120.8,-1.4,113.4,111.5,1.9,0.2,0.9,1.1,-2.1,-1.1,-0.9,0.0,0.5862068965517241,0,6.756756756756757,7.7
Maledon T.,2024-2025,24,192,27.606060606060606,17.0,33,13,14,100,114,153,5,33,97,58,208,55,149,339,44.0,34.4,90.4,52.5,52.1,63.9,28.6,679,20.9,-68,536,113.7,118.0,-4.3,123.2,107.7,15.5,2.0,1.6,3.6,2.0,3.6,-1.6,2.0,0.3939393939393939,3,9.225806451612904,14.2
Mannion N.,2024-2025,24,188,22.0,8.518518518518519,27,15,4,35,39,107,1,20,61,68,41,29,80,177,45.2,33.0,82.0,57.3,53.4,58.1,21.8,211,11.4,55,259,120.8,116.4,4.4,112.5,110.4,2.1,0.4,0.8,1.2,-3.6,-0.6,-3.0,-0.5,0.5555555555555556,3,4.0476190476190474,7.8
Marinkovic V.,2024-2025,28,198,23.1,7.7,20,8,7,26,33,24,2,11,14,45,13,29,56,116,48.3,41.4,65.0,58.7,60.8,61.6,15.3,112,10.9,57,139,122.4,115.0,7.4,112.8,109.3,3.5,0.2,0.7,0.8,-0.7,-0.1,-0.6,0.3,0.4,1,5.947368421052632,6.6
Mc Cormack D.,2024-2025,25,208,19.045454545454547,10.454545454545455,22,3,44,82,126,15,3,22,43,65,50,0,90,148,60.8,0.0,72.5,61.6,60.8,64.2,24.6,272,19.3,-101,222,104.9,119.0,-14.1,102.6,104.2,-1.6,-0.2,0.9,0.7,-2.9,-3.2,0.3,-0.2,0.13636363636363635,2,6.962962962962963,9.0
McKissic S.,2024-2025,34,196,17.818181818181817,8.545454545454545,33,24,24,53,77,61,1,20,33,46,56,34,96,199,48.2,33.0,64.4,64.6,56.8,59.7,22.7,287,14.7,4,269,119.4,119.8,-0.4,118.2,110.0,8.2,0.4,1.0,1.4,0.4,0.9,-0.6,0.8,0.7272727272727273,7,3.857142857142857,7.6
Melli N.,2024-2025,34,205,17.235294117647058,4.911764705882353,34,23,45,92,137,40,14,18,24,92,13,28,63,128,49.2,38.9,59.1,62.5,60.2,60.5,13.5,228,13.5,71,162,119.9,112.0,7.9,122.1,101.5,20.6,0.4,1.5,2.0,3.1,0.1,3.0,1.9,0.6764705882352942,7,6.655172413793103,5.8
Mike I.,2024-2025,27,200,15.772727272727273,4.045454545454546,22,11,21,33,54,15,3,13,12,38,11,10,34,76,44.7,26.3,57.9,63.2,51.3,52.4,14.0,95,10.5,-22,97,113.9,115.6,-1.7,99.8,108.7,-8.9,-0.1,0.5,0.4,-1.1,-2.0,0.9,0.2,0.5,0,9.36111111111111,5.2
Miller McIntyre C.,2024-2025,31,191,24.970588235294116,10.176470588235293,34,18,22,81,103,152,0,19,73,76,29,39,139,318,43.7,31.5,72.5,51.5,49.8,51.8,23.4,326,12.7,2,407,115.0,115.5,-0.5,113.5,108.1,5.4,0.7,1.5,2.2,-1.1,-0.6,-0.5,0.4,0.5294117647058824,4,12.621621621621621,8.3
Milutinov N.,2024-2025,30,213,19.708333333333332,8.208333333333334,24,19,62,78,140,15,16,13,16,19,57,0,70,118,59.3,0.0,85.1,59.3,59.3,65.7,16.8,346,22.2,49,166,120.0,114.4,5.6,129.6,102.8,26.8,0.9,1.3,2.2,3.6,1.1,2.6,1.8,0.7916666666666666,3,10.5,6.9
Mirotic N.,2024-2025,34,208,27.466666666666665,17.7,30,15,53,139,192,59,10,30,56,53,150,61,160,337,47.5,38.9,89.3,55.0,56.5,65.2,27.2,659,23.7,120,463,122.2,115.5,6.7,119.9,106.3,13.6,1.2,1.5,2.7,3.2,3.6,-0.4,2.4,0.5,7,11.03225806451613,13.7
Mitoglou K.,2024-2025,29,210,15.548387096774194,5.935483870967742,31,20,29,62,91,19,3,13,20,56,20,20,72,144,50.0,41.7,66.7,54.2,56.9,59.4,18.0,178,13.3,70,175,126.8,120.9,5.9,108.0,111.9,-3.9,0.1,0.8,0.9,-0.7,-0.5,-0.2,0.4,0.6451612903225806,2,5.333333333333333,6.6
Moneke C.,2024-2025,29,198,28.21212121212121,14.0,33,13,71,129,200,76,9,29,61,60,126,38,149,301,49.5,29.5,81.3,64.5,55.8,62.7,22.0,615,19.8,-61,430,112.7,116.1,-3.4,123.0,106.5,16.5,1.5,1.7,3.1,3.1,2.5,0.6,2.6,0.3939393939393939,2,14.151515151515152,12.6
Morgan M.,2024-2025,27,188,18.58823529411765,7.823529411764706,34,9,8,51,59,87,1,18,34,67,74,36,78,208,37.5,27.1,92.5,56.0,46.2,55.2,20.9,260,13.2,-33,275,109.2,115.7,-6.5,112.3,107.0,5.3,0.3,1.1,1.5,-1.8,0.4,-2.1,0.1,0.2647058823529412,0,13.470588235294118,8.2
Motiejunas D.,2024-2025,34,213,14.827586206896552,6.413793103448276,29,19,35,56,91,27,8,10,26,57,25,9,76,132,57.6,47.4,54.3,59.3,61.0,60.8,20.2,218,16.2,16,179,120.8,119.2,1.6,107.8,109.4,-1.6,0.0,0.6,0.7,-0.2,-1.1,0.9,0.4,0.6551724137931034,7,6.148148148148148,6.5
Musa D.,2024-2025,26,203,22.275862068965516,12.724137931034482,29,19,16,68,84,63,5,12,51,36,93,40,118,247,47.8,38.8,80.2,54.2,55.9,62.5,24.5,375,16.8,73,346,117.9,111.9,6.0,115.7,106.1,9.6,0.5,1.4,1.9,-0.6,0.0,-0.6,0.6,0.6551724137931034,1,13.941176470588236,9.9
Ndiaye M.,2024-2025,26,204,19.571428571428573,7.214285714285714,14,7,10,31,41,11,8,9,15,28,12,13,38,72,52.8,40.6,66.7,62.5,61.8,63.9,16.8,100,13.3,-34,94,112.3,119.3,-7.0,101.3,106.8,-5.5,-0.1,0.5,0.4,0.1,-1.7,1.7,0.3,0.5,1,7.6875,7.1
Nedovic N.,2024-2025,34,191,18.384615384615383,9.038461538461538,26,15,13,25,38,76,2,12,34,49,34,45,78,183,42.6,39.8,81.0,47.1,54.9,59.0,23.5,216,15.2,97,233,118.6,110.8,7.8,117.0,105.4,11.6,0.5,0.9,1.4,0.3,2.0,-1.7,0.6,0.5769230769230769,7,6.5,7.7
Ntilikina F.,2024-2025,26,188,20.0,6.75,20,10,6,28,34,41,0,12,13,52,10,25,50,109,45.9,37.9,90.9,58.1,57.3,59.2,16.0,120,12.3,19,127,114.8,112.6,2.2,128.1,105.5,22.6,0.6,0.7,1.3,-0.5,0.8,-1.3,0.3,0.5,1,4.739130434782608,6.7
Nunn K.,2024-2025,29,189,31.25,21.1875,32,21,26,90,116,140,7,32,90,90,94,100,242,483,50.1,43.1,86.2,56.6,60.5,64.4,29.9,651,20.1,189,617,125.5,116.0,9.5,125.6,109.2,16.4,2.4,1.9,4.3,2.4,3.9,-1.4,2.9,0.65625,2,19.0,13.8
Nwora J.,2024-2025,26,203,18.15625,8.5625,32,18,22,92,114,26,6,18,47,41,32,40,101,229,44.1,36.4,86.5,51.3,52.8,56.1,24.5,247,13.2,-7,291,117.3,119.2,-1.9,95.9,110.3,-14.4,-0.7,0.9,0.2,-3.3,-2.7,-0.6,-0.4,0.5625,1,17.1875,8.3
Obst A.,2024-2025,28,191,24.147058823529413,10.470588235294118,34,19,13,52,65,53,0,19,40,73,20,98,119,280,42.5,42.6,74.1,42.0,60.0,61.6,19.2,249,11.3,-81,329,117.8,124.0,-6.2,113.4,117.2,-3.8,0.3,0.6,0.9,-1.6,0.9,-2.5,0.2,0.5588235294117647,1,14.764705882352942,10.2
Okobo E.,2024-2025,27,191,24.785714285714285,13.142857142857142,28,17,3,48,51,113,6,29,53,57,91,35,121,252,48.0,41.2,89.2,51.5,55.0,62.6,24.1,401,17.1,91,347,121.0,114.3,6.7,125.6,106.2,19.4,1.5,1.7,3.1,0.5,1.6,-1.0,1.2,0.6071428571428571,0,11.63888888888889,10.7
Osman C.,2024-2025,30,204,18.774193548387096,8.096774193548388,31,20,15,60,75,20,5,13,19,66,58,37,78,175,44.6,37.8,79.5,53.2,55.1,60.3,19.0,214,15.6,38,227,122.8,117.3,5.5,111.4,110.7,0.7,0.5,1.2,1.7,-0.5,0.7,-1.2,0.6,0.6451612903225806,3,13.125,7.9
Osmani E.,2024-2025,26,213,16.757575757575758,6.636363636363637,33,19,29,70,99,31,7,17,35,58,34,25,80,159,50.3,40.3,94.4,56.7,58.2,62.2,19.0,235,13.8,37,211,120.0,115.4,4.6,109.8,107.3,2.5,0.0,1.0,1.1,-0.3,-0.4,0.0,0.6,0.5757575757575758,1,10.86111111111111,6.9
Oturu D.,2024-2025,25,208,16.78125,8.8125,32,18,66,71,137,19,29,14,36,78,54,0,114,162,70.4,0.0,68.4,70.8,70.4,72.5,21.4,357,24.2,59,231,126.0,119.4,6.6,128.5,107.5,21.0,1.1,1.2,2.3,4.0,2.0,2.0,2.0,0.5625,2,13.378378378378379,7.9
Ouattara Y.,2024-2025,33,192,14.741935483870968,4.709677419354839,31,18,22,33,55,11,2,14,13,41,11,27,54,141,38.3,31.0,100.0,50.0,47.9,50.0,16.2,88,8.5,-22,159,116.3,116.0,0.3,97.8,108.6,-10.8,-0.4,0.8,0.5,-3.7,-3.1,-0.6,-0.5,0.5806451612903226,6,6.090909090909091,6.1
Pajola A.,2024-2025,25,194,23.6,5.466666666666667,30,8,9,63,72,123,4,35,38,82,19,31,57,141,40.4,34.8,79.2,50.0,51.4,53.6,13.4,218,11.2,-50,191,112.4,115.9,-3.5,110.9,104.5,6.4,0.2,1.4,1.6,-0.2,-0.7,0.5,0.7,0.26666666666666666,2,4.0,6.2
Papagiannis G.,2024-2025,27,217,16.321428571428573,6.928571428571429,28,16,29,65,94,15,38,14,17,63,18,8,84,140,60.0,32.0,90.0,66.1,62.9,65.1,17.8,234,20.5,47,166,115.8,110.9,4.9,114.2,99.1,15.1,0.3,1.2,1.5,4.8,-0.3,5.1,1.8,0.5714285714285714,0,2.2,7.2
Papanikolaou K.,2024-2025,34,204,18.87878787878788,4.9393939393939394,33,23,20,76,96,75,10,21,25,62,27,30,53,131,40.5,34.1,71.1,53.5,51.9,55.1,13.6,219,11.6,132,173,124.0,110.9,13.1,113.9,103.0,10.9,0.3,1.4,1.7,2.2,0.1,2.1,1.6,0.696969696969697,7,3.066666666666667,6.2
Parker J.,2024-2025,30,203,27.484848484848484,14.181818181818182,33,19,34,100,134,57,8,28,49,66,41,63,182,367,49.6,39.1,83.7,57.8,58.2,59.8,23.3,435,16.3,45,440,119.8,117.1,2.7,108.8,108.6,0.2,0.0,1.6,1.7,0.6,0.7,-0.1,1.5,0.5757575757575758,3,7.733333333333333,12.0
Parra J.,2024-2025,25,202,13.56,4.72,25,13,21,42,63,18,1,14,10,35,12,8,49,105,46.7,21.1,75.0,61.2,50.5,52.7,16.8,121,13.0,36,122,122.7,116.1,6.6,111.0,108.5,2.5,0.1,0.8,0.9,-0.2,-1.2,1.0,0.4,0.52,2,5.72972972972973,6.3
Peters A.,2024-2025,30,206,16.352941176470587,7.617647058823529,34,24,32,58,90,26,2,11,11,57,48,37,87,161,54.0,54.4,94.1,53.8,65.5,71.9,16.9,296,18.8,72,191,121.1,113.5,7.6,139.4,105.8,33.6,1.3,1.2,2.5,3.1,3.5,-0.3,1.9,0.7058823529411765,3,6.918918918918919,7.2
Petrusev F.,2024-2025,25,211,20.77777777777778,13.518518518518519,27,13,49,83,132,44,15,21,29,66,93,14,129,234,55.1,28.0,68.4,62.5,58.1,62.4,27.2,431,25.6,38,322,115.4,113.5,1.9,121.0,101.7,19.3,1.0,1.3,2.3,4.5,3.0,1.4,2.1,0.48148148148148145,2,11.621621621621621,10.4
Poirier V.,2024-2025,31,213,21.515151515151516,9.757575757575758,33,19,63,103,166,41,39,21,31,70,68,0,127,195,65.1,0.0,73.1,66.5,65.1,67.4,18.6,455,21.7,104,271,118.7,110.7,8.0,125.7,100.8,24.9,1.2,1.9,3.1,5.0,1.6,3.4,3.2,0.5757575757575758,4,8.0,8.4
Pokusevski A.,2024-2025,23,211,12.653846153846153,3.8076923076923075,26,12,17,39,56,32,26,16,13,55,9,12,39,85,45.9,30.0,69.2,60.0,52.9,55.0,15.7,125,16.2,16,103,118.0,113.6,4.4,114.9,99.3,15.6,0.2,0.8,1.0,4.0,-0.5,4.5,1.1,0.46153846153846156,4,3.5384615384615383,4.9
Punter K.,2024-2025,32,193,26.838709677419356,17.0,31,18,10,55,65,94,1,40,48,66,103,70,177,367,48.2,41.7,92.8,53.8,57.8,64.1,26.6,519,20.5,115,459,121.9,115.2,6.7,130.9,106.7,24.2,2.6,1.7,4.3,3.1,4.0,-0.9,2.7,0.5806451612903226,5,15.11111111111111,13.6
Randolph L.,2024-2025,32,195,27.727272727272727,12.0,33,10,41,85,126,58,0,20,39,71,86,32,139,304,45.7,39.0,91.5,48.2,51.0,57.2,19.6,401,13.9,-43,385,119.8,122.9,-3.1,119.8,114.9,4.9,1.0,0.9,1.9,-1.8,-0.4,-1.5,0.1,0.30303030303030304,5,2.142857142857143,10.5
Rathan Mayes X.,2024-2025,31,191,12.857142857142858,5.761904761904762,21,11,3,18,21,30,1,11,26,30,12,25,42,100,42.0,36.8,63.2,53.1,54.5,55.5,24.3,93,10.6,-7,135,116.3,117.9,-1.6,111.1,110.6,0.5,0.1,0.4,0.5,-2.9,-1.8,-1.1,-0.1,0.5238095238095238,4,7.258064516129032,6.9
Rayman W.,2024-2025,28,203,11.625,2.6875,32,10,41,61,102,5,4,6,6,80,30,8,24,60,40.0,40.0,75.0,40.0,46.7,53.8,10.5,108,10.5,-24,86,116.3,114.3,2.0,120.5,104.6,15.9,0.2,0.8,1.0,-3.3,-2.3,-1.0,-0.3,0.3125,1,3.108108108108108,3.9
Ricci G.,2024-2025,33,201,15.15625,3.5625,32,16,18,61,79,14,7,12,12,80,6,26,41,81,50.6,44.8,100.0,65.2,66.7,67.9,10.0,104,9.9,-22,96,118.3,116.3,2.0,119.0,108.0,11.0,0.2,0.8,1.0,0.7,-0.6,1.2,0.7,0.5,6,4.45945945945946,4.8
Rivero J.,2024-2025,31,206,22.05,10.2,20,7,35,52,87,26,9,16,22,40,28,2,87,148,58.8,18.2,58.3,62.0,59.5,60.7,20.3,247,18.1,-51,190,113.8,119.6,-5.8,114.6,107.3,7.3,0.3,0.8,1.1,0.3,0.1,0.3,0.6,0.35,4,5.571428571428571,8.0
Rogkavopoulos N.,2024-2025,24,201,18.78125,9.75,32,14,39,87,126,31,1,15,17,49,30,62,110,232,47.4,43.7,81.1,53.3,60.8,63.4,20.5,311,19.4,49,263,121.0,115.3,5.7,122.4,106.4,16.0,0.7,1.1,1.8,1.6,2.9,-1.3,1.2,0.4375,3,4.7407407407407405,8.6
Sako N.,2024-2025,26,210,21.96969696969697,9.0,33,13,90,113,203,27,16,26,29,94,45,0,126,185,68.1,0.0,57.0,68.1,68.1,68.0,16.7,411,20.2,-83,248,114.3,117.7,-3.4,128.0,105.4,22.6,1.1,1.4,2.5,2.3,0.5,1.8,1.7,0.3939393939393939,1,4.885714285714286,6.8
Samaric L.,2024-2025,25,208,15.266666666666667,9.066666666666666,15,6,19,29,48,16,7,7,18,18,20,10,53,111,47.7,33.3,69.0,53.1,52.3,55.1,28.4,129,19.1,-14,142,119.1,125.4,-6.3,106.2,114.4,-8.2,0.0,0.2,0.2,-2.2,-1.2,-1.0,0.0,0.4,2,7.0,7.6
Sanli S.,2024-2025,33,212,14.551724137931034,6.275862068965517,29,19,28,48,76,22,15,14,18,74,32,22,64,126,50.8,37.3,78.0,62.7,59.5,63.6,18.1,179,16.2,-10,161,110.5,113.0,-2.5,117.6,103.2,14.4,0.2,0.9,1.1,2.7,0.8,2.0,1.1,0.6551724137931034,6,2.4285714285714284,6.3
Satoransky T.,2024-2025,33,201,23.242424242424242,6.0,33,19,26,79,105,176,2,29,56,70,27,21,75,162,46.3,36.2,71.1,51.9,52.8,55.6,14.7,338,12.6,68,234,117.4,112.8,4.6,125.3,104.3,21.0,1.1,1.8,2.9,0.9,0.6,0.3,1.4,0.5757575757575758,6,7.176470588235294,6.4
Sedekerskis T.,2024-2025,27,200,24.52,7.36,25,10,35,84,119,42,5,8,23,20,26,20,69,126,54.8,44.4,74.3,60.5,62.7,64.6,13.3,288,14.1,-61,166,113.1,119.0,-5.9,119.8,110.3,9.5,0.5,0.9,1.3,0.9,0.2,0.7,1.0,0.4,0,8.0,6.6
Shengelia T.,2024-2025,33,203,27.357142857142858,15.571428571428571,28,6,43,96,139,75,10,19,71,70,117,25,147,308,47.7,36.2,82.4,51.0,51.8,58.5,28.1,486,18.1,-92,444,108.6,117.2,-8.6,107.2,106.6,0.6,0.1,1.4,1.4,-0.7,-0.4,-0.3,0.5,0.21428571428571427,6,12.67741935483871,13.5
Shields S.,2024-2025,31,201,27.535714285714285,11.964285714285714,28,13,16,84,100,73,1,19,43,41,56,43,118,243,48.6,42.2,72.7,53.2,57.4,60.6,20.6,372,14.7,-57,320,115.7,119.8,-4.1,115.8,113.3,2.5,0.6,0.9,1.5,-0.4,0.6,-1.0,0.7,0.4642857142857143,4,12.323529411764707,9.6
Shorts T.,2024-2025,27,175,27.12121212121212,18.696969696969695,33,19,17,73,90,247,2,35,71,74,134,27,228,457,49.9,41.5,73.2,51.3,52.8,57.8,31.9,762,24.8,174,605,117.8,109.4,8.4,133.9,101.6,32.3,4.2,2.2,6.4,3.2,6.7,-3.5,2.9,0.5757575757575758,0,7.75,14.9
Sirvydis D.,2024-2025,25,200,16.875,8.53125,32,15,22,66,88,25,3,16,36,50,47,54,86,205,42.0,38.3,69.1,50.0,55.1,58.7,24.3,225,15.0,-4,269,113.6,113.5,0.1,101.1,105.0,-3.9,-0.3,1.0,0.8,-1.0,-0.3,-0.6,0.3,0.46875,2,4.625,6.9
Sloukas K.,2024-2025,35,190,21.625,9.3125,32,20,9,53,62,159,3,29,51,55,85,47,83,198,41.9,38.2,93.4,48.0,53.8,63.1,20.1,405,17.7,93,288,123.6,119.5,4.1,135.6,111.6,24.0,2.4,1.1,3.5,1.8,3.8,-2.0,1.7,0.625,8,9.833333333333334,8.8
Smailagic A.,2024-2025,24,208,14.607142857142858,8.142857142857142,28,15,32,51,83,11,17,10,27,64,34,22,86,154,55.8,36.7,72.3,68.1,63.0,65.9,24.4,218,20.3,-31,200,113.4,116.0,-2.6,110.5,105.1,5.4,0.1,0.8,0.9,1.2,0.0,1.2,0.7,0.5357142857142857,3,7.466666666666667,7.3
Smits R.,2024-2025,30,207,18.151515151515152,7.0,33,19,22,64,86,28,3,8,33,73,44,25,81,150,54.0,36.8,86.3,68.3,62.3,67.5,16.6,229,12.9,23,204,119.3,114.7,4.6,115.7,108.8,6.9,0.4,1.2,1.6,0.5,0.6,-0.1,0.9,0.5757575757575758,3,6.852941176470588,7.0
Sorkin R.,2024-2025,28,208,23.393939393939394,12.93939393939394,33,11,56,79,135,35,16,18,50,81,72,31,162,318,50.9,34.1,84.7,57.7,55.8,60.3,24.7,394,17.6,-61,405,117.0,121.3,-4.3,109.8,111.4,-1.6,0.2,1.1,1.3,-1.4,0.2,-1.6,0.3,0.3333333333333333,1,13.594594594594595,10.6
Spagnolo M.,2024-2025,22,194,20.923076923076923,9.653846153846153,26,5,13,40,53,99,1,13,55,39,49,12,95,230,41.3,27.9,79.0,44.4,43.9,48.6,26.5,235,11.3,-161,313,106.0,122.9,-16.9,101.1,117.0,-15.9,-0.4,0.4,0.1,-7.3,-3.6,-3.6,-1.6,0.19230769230769232,5,5.5,10.0
Strazel M.,2024-2025,22,182,20.08823529411765,8.088235294117647,34,21,11,23,34,75,1,16,33,60,53,48,87,192,45.3,41.4,85.5,51.3,57.8,63.7,17.8,261,13.7,15,249,116.6,115.6,1.0,124.3,110.8,13.5,1.3,1.1,2.5,0.7,2.0,-1.4,1.2,0.6176470588235294,5,9.162162162162161,7.9
Tarpey T.,2024-2025,31,195,12.444444444444445,2.5,18,12,14,27,41,10,5,20,1,32,9,8,14,27,51.9,50.0,69.2,54.5,66.7,68.2,7.4,81,14.5,18,34,118.6,111.9,6.7,148.1,97.0,51.1,0.3,0.8,1.1,5.9,0.4,5.5,1.2,0.6666666666666666,4,1.65625,4.0
Tavares W.,2024-2025,33,220,23.852941176470587,10.558823529411764,34,20,94,149,243,39,45,22,70,100,61,0,149,198,75.3,0.0,70.9,75.3,75.3,76.9,17.9,559,20.1,192,304,119.6,107.3,12.3,123.5,96.1,27.4,1.0,2.5,3.5,4.8,0.1,4.7,3.5,0.5882352941176471,6,9.864864864864865,9.8
Thompson D.,2024-2025,30,193,26.757575757575758,9.545454545454545,33,19,20,43,63,156,16,30,40,68,39,46,115,230,50.0,41.4,79.6,58.0,60.0,62.7,16.2,397,15.9,86,291,120.8,114.5,6.3,136.8,108.0,28.8,2.1,1.7,3.7,2.7,3.3,-0.6,2.6,0.5757575757575758,3,9.486486486486486,9.1
Tonut S.,2024-2025,31,194,15.481481481481481,3.2222222222222223,27,12,11,41,52,31,2,9,8,31,5,14,34,67,50.7,45.2,55.6,55.6,61.2,61.3,9.4,121,10.1,2,79,121.4,117.6,3.8,129.7,110.3,19.4,0.4,0.6,1.0,-0.2,-0.6,0.3,0.4,0.4444444444444444,4,1.0,4.3
