PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,PPG_ROLL3,USG_ROLL3,TS_ROLL3,NET_ROLL3,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
Andrew Wiggins,2023-24,29.0,200.66,27.0,13.2,71,38,4.5,1.7,0.45300000000000007,0.544,0.206,-1.3,0.055,0.105,0.087,0.535,2.0,0.8658536585365854,17.1,17.2,-3.900000000000002,0.212,37.0,17.633333333333333,0.22166666666666668,0.564,3.6,-0.7499999999999982,10,18.0,12.2
Anfernee Simons,2023-24,25.0,190.5,34.4,22.6,46,11,3.6,5.5,0.43000000000000005,0.568,0.276,-10.6,0.013,0.09699999999999999,0.268,0.239,2.0,0.5609756097560976,21.1,17.3,1.5,0.247,62.0,15.4,0.22366666666666668,0.5843333333333333,-1.1,6.650000000000001,6,19.3,20.7
Anthony Black,2023-24,20.0,200.66,16.9,4.6,69,39,2.0,1.3,0.466,0.56,0.123,-1.0,0.028999999999999998,0.093,0.108,0.565,7.0,0.8414634146341463,4.6,4.6,0.0,0.123,69.0,4.6,0.123,0.56,-1.0,0.0,1,9.4,7.1
Anthony Davis,2023-24,31.0,208.28,35.5,24.7,76,45,12.6,3.5,0.556,0.621,0.261,2.6,0.093,0.252,0.151,0.592,4.0,0.926829268292683,25.9,23.2,-1.1999999999999993,0.277,56.0,23.633333333333336,0.27566666666666667,0.587,2.3333333333333335,2.049999999999993,12,24.7,23.5
Anthony Edwards,2023-24,22.0,193.04,35.1,25.9,79,54,5.4,5.1,0.4610000000000001,0.575,0.314,7.299999999999999,0.02,0.131,0.24099999999999996,0.684,5.0,0.9634146341463414,24.6,21.3,1.2999999999999972,0.292,79.0,21.733333333333334,0.27266666666666667,0.549,0.3,2.6500000000000012,4,27.6,26.4
Anthony Gill,2023-24,31.0,203.2,9.3,3.8,50,9,1.9,0.7,0.469,0.537,0.177,1.2,0.078,0.117,0.098,0.18,4.0,0.6097560975609756,3.3,4.1,0.5,0.116,59.0,3.5,0.13233333333333333,0.6276666666666667,1.1333333333333335,0.09999999999999952,4,2.5,2.7
Ausar Thompson,2023-24,21.0,198.12,25.1,8.8,63,10,6.4,1.9,0.483,0.522,0.161,-5.3,0.077,0.173,0.108,0.159,6.0,0.7682926829268293,8.8,8.8,0.0,0.161,63.0,8.8,0.161,0.522,-5.3,0.0,1,10.1,9.2
Austin Reaves,2023-24,26.0,195.58,32.1,15.899999999999999,82,47,4.3,5.5,0.486,0.613,0.198,-1.0,0.023,0.10699999999999998,0.23699999999999996,0.573,1.0,1.0,13.0,7.3,2.8999999999999986,0.154,64.0,10.15,0.1375,0.6435,3.35,5.699999999999997,3,20.2,16.2
Ayo Dosunmu,2023-24,24.0,195.58,29.099999999999998,12.2,76,37,2.8,3.2,0.501,0.604,0.168,-3.3,0.024,0.072,0.157,0.487,3.0,0.926829268292683,8.6,8.8,3.5999999999999996,0.145,80.0,8.7,0.14150000000000001,0.5814999999999999,-3.15,-0.20000000000000215,3,12.3,12.4
Bam Adebayo,2023-24,26.0,205.74,34.0,19.3,71,40,10.4,3.8999999999999995,0.521,0.576,0.247,0.8,0.067,0.242,0.193,0.563,1.0,0.8658536585365854,20.4,19.1,-1.0999999999999979,0.251,75.0,19.400000000000002,0.244,0.6086666666666667,3.5,0.8499999999999979,7,18.1,18.7
Ben Sheppard,2023-24,22.0,198.12,14.3,4.4,57,32,1.6,0.9,0.393,0.524,0.125,4.7,0.018000000000000002,0.092,0.07200000000000001,0.561,5.0,0.6951219512195121,4.4,4.4,0.0,0.125,57.0,4.4,0.125,0.524,4.7,0.0,1,5.3,5.9
Ben Simmons,2023-24,27.0,208.28,23.9,6.1,15,7,7.9,5.7,0.581,0.571,0.126,-3.4,0.08,0.241,0.306,0.467,0.0,0.18292682926829268,6.9,14.3,-0.8000000000000007,0.142,42.0,12.533333333333333,0.18266666666666667,0.5816666666666667,3.933333333333333,-4.750000000000001,6,5.0,6.1
Bennedict Mathurin,2023-24,22.0,195.58,26.1,14.5,59,33,4.0,2.0,0.446,0.562,0.226,-2.9,0.038,0.113,0.105,0.559,5.0,0.7195121951219512,16.7,16.7,-2.1999999999999993,0.235,78.0,16.7,0.235,0.566,-4.3,0.0,2,16.1,16.2
Bilal Coulibaly,2023-24,19.0,203.2,27.2,8.4,63,11,4.1,1.7,0.435,0.543,0.139,-11.0,0.031,0.116,0.086,0.175,8.0,0.7682926829268293,8.4,8.4,0.0,0.139,63.0,8.4,0.139,0.543,-11.0,0.0,1,12.3,9.5
Bismack Biyombo,2023-24,31.0,203.2,19.8,4.4,40,20,5.2,1.3,0.565,0.562,0.10600000000000001,-3.8,0.076,0.179,0.087,0.5,4.0,0.4878048780487805,4.3,5.8,0.10000000000000053,0.136,61.0,5.033333333333333,0.1386666666666667,0.5750000000000001,-0.06666666666666687,-0.3500000000000002,13,5.1,3.2
Blake Wesley,2023-24,21.0,190.5,14.4,4.4,61,19,1.5,2.7,0.474,0.537,0.144,-7.8,0.019,0.084,0.257,0.311,6.0,0.7439024390243902,5.0,5.0,-0.5999999999999996,0.18,37.0,5.0,0.18,0.393,-13.4,0.0,2,3.7,5.8
Bobby Portis,2023-24,29.0,208.28,24.5,13.800000000000002,82,49,7.400000000000001,1.3,0.508,0.581,0.22400000000000003,-0.10000000000000002,0.071,0.228,0.078,0.598,2.0,1.0,14.1,14.600000000000001,-0.29999999999999716,0.211,70.0,13.366666666666667,0.20666666666666667,0.5813333333333334,3.766666666666666,1.3500000000000003,9,13.9,12.8
Bogdan Bogdanović,2023-24,31.0,195.58,30.4,16.9,79,35,3.3999999999999995,3.1,0.428,0.569,0.21800000000000003,1.9,0.021,0.092,0.147,0.443,4.0,0.9634146341463414,14.0,15.1,2.8999999999999986,0.19599999999999998,54.0,15.166666666666666,0.206,0.588,3.1999999999999993,-1.199999999999999,7,10.8,14.5
Bol Bol,2023-24,24.0,220.98,10.9,5.2,43,28,3.1999999999999997,0.39999999999999997,0.616,0.7,0.156,0.09999999999999999,0.069,0.20199999999999999,0.054,0.651,3.0,0.524390243902439,9.1,2.4,-3.8999999999999995,0.177,70.0,4.566666666666666,0.17600000000000002,0.5673333333333334,-9.6,3.4499999999999984,5,6.8,6.2
Bones Hyland,2023-24,23.0,187.96,14.599999999999998,6.9,37,20,1.5,2.5,0.386,0.49,0.241,-6.0,0.009,0.088,0.269,0.541,4.0,0.45121951219512196,11.8,10.1,-4.9,0.271,56.0,10.95,0.251,0.5465,-1.7999999999999998,1.7000000000000004,3,6.2,8.1
Bradley Beal,2023-24,31.0,193.04,33.3,18.2,53,33,4.4,5.0,0.513,0.607,0.224,3.0,0.033,0.099,0.215,0.623,4.0,0.6463414634146342,23.2,23.2,-5.0,0.288,50.0,25.900000000000002,0.3053333333333333,0.5750000000000001,-1.0666666666666667,-4.0500000000000025,12,17.0,16.8
Brandin Podziemski,2023-24,21.0,193.04,26.6,9.2,74,41,5.8,3.7,0.45400000000000007,0.54,0.149,5.9,0.057999999999999996,0.149,0.176,0.554,6.0,0.9024390243902439,9.2,9.2,0.0,0.149,74.0,9.2,0.149,0.54,5.9,0.0,1,11.7,11.8
Brandon Boston,2023-24,22.0,198.12,10.8,5.2,32,17,1.6,0.4,0.404,0.476,0.24,-15.7,0.05,0.093,0.06,0.531,5.0,0.3902439024390244,6.5,6.7,-1.2999999999999998,0.237,22.0,6.6,0.22449999999999998,0.498,-4.85,-0.20000000000000115,3,10.7,6.2
Brandon Ingram,2023-24,26.0,203.2,32.9,20.8,64,38,5.1,5.7,0.492,0.578,0.269,4.0,0.021,0.133,0.259,0.594,1.0,0.7804878048780488,24.7,22.7,-3.8999999999999986,0.306,45.0,23.733333333333334,0.292,0.5733333333333333,2.433333333333333,0.4499999999999979,8,22.2,22.2
