PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,STL,BLK,TOV,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,PREV_PPG,PREV_PPG_2,PREV_USG%,PREV_GP,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
Andre Jackson Jr.,2023-24,22.0,198.12,10.0,2.2,57,33,2.0,0.9,0.3,0.1,0.5,0.5,0.596,0.097,-7.3,0.077,0.127,0.113,0.579,5.0,2.2,2.2,0.097,57.0,0.0,1,3.4,4.0
Andrew Nembhard,2023-24,24.0,193.04,25.0,9.2,68,41,2.1,4.1,0.9,0.1,1.5,0.49799999999999994,0.573,0.161,2.2,0.021,0.06,0.208,0.603,3.0,9.5,9.5,0.159,75.0,0.0,2,10.0,10.5
Andrew Wiggins,2023-24,29.0,200.66,27.0,13.2,71,38,4.5,1.7,0.6,0.6,1.2,0.45300000000000007,0.544,0.206,-1.3,0.055,0.105,0.087,0.535,2.0,17.1,17.2,0.212,37.0,-0.7499999999999982,10,18.0,13.2
Anfernee Simons,2023-24,25.0,190.5,34.4,22.6,46,11,3.6,5.5,0.5,0.1,2.7,0.43000000000000005,0.568,0.276,-10.6,0.013,0.09699999999999999,0.268,0.239,2.0,21.1,17.3,0.247,62.0,6.650000000000001,6,19.3,20.7
Anthony Black,2023-24,20.0,200.66,16.9,4.6,69,39,2.0,1.3,0.5,0.3,0.8,0.466,0.56,0.123,-1.0,0.028999999999999998,0.093,0.108,0.565,7.0,4.6,4.6,0.123,69.0,0.0,1,9.4,7.5
Anthony Davis,2023-24,31.0,208.28,35.5,24.7,76,45,12.6,3.5,1.2,2.3,2.1,0.556,0.621,0.261,2.6,0.093,0.252,0.151,0.592,4.0,25.9,23.2,0.277,56.0,2.049999999999993,12,24.7,22.4
Anthony Edwards,2023-24,22.0,193.04,35.1,25.9,79,54,5.4,5.1,1.3,0.5,3.1,0.4610000000000001,0.575,0.314,7.299999999999999,0.02,0.131,0.24099999999999996,0.684,5.0,24.6,21.3,0.292,79.0,2.6500000000000012,4,27.6,27.6
Anthony Gill,2023-24,31.0,203.2,9.3,3.8,50,9,1.9,0.7,0.3,0.2,0.5,0.469,0.537,0.177,1.2,0.078,0.117,0.098,0.18,4.0,3.3,4.1,0.116,59.0,0.09999999999999952,4,2.5,3.5
Ausar Thompson,2023-24,21.0,198.12,25.1,8.8,63,10,6.4,1.9,1.1,0.9,1.3,0.483,0.522,0.161,-5.3,0.077,0.173,0.108,0.159,6.0,8.8,8.8,0.161,63.0,0.0,1,10.1,10.1
Austin Reaves,2023-24,26.0,195.58,32.1,15.899999999999999,82,47,4.3,5.5,0.8000000000000002,0.3,2.1,0.486,0.613,0.198,-1.0,0.023,0.10699999999999998,0.23699999999999996,0.573,1.0,13.0,7.3,0.154,64.0,5.699999999999997,3,20.2,16.5
Ayo Dosunmu,2023-24,24.0,195.58,29.099999999999998,12.2,76,37,2.8,3.2,0.9,0.5,1.4,0.501,0.604,0.168,-3.3,0.024,0.072,0.157,0.487,3.0,8.6,8.8,0.145,80.0,-0.20000000000000215,3,12.3,12.8
Bam Adebayo,2023-24,26.0,205.74,34.0,19.3,71,40,10.4,3.8999999999999995,1.1,0.9,2.3,0.521,0.576,0.247,0.8,0.067,0.242,0.193,0.563,1.0,20.4,19.1,0.251,75.0,0.8499999999999979,7,18.1,19.0
Ben Sheppard,2023-24,22.0,198.12,14.3,4.4,57,32,1.6,0.9,0.6,0.0,0.3,0.393,0.524,0.125,4.7,0.018000000000000002,0.092,0.07200000000000001,0.561,5.0,4.4,4.4,0.125,57.0,0.0,1,5.3,6.7
Ben Simmons,2023-24,27.0,208.28,23.9,6.1,15,7,7.9,5.7,0.8,0.6,1.8,0.581,0.571,0.126,-3.4,0.08,0.241,0.306,0.467,0.0,6.9,14.3,0.142,42.0,-4.750000000000001,6,5.0,5.5
Bennedict Mathurin,2023-24,22.0,195.58,26.1,14.5,59,33,4.0,2.0,0.6,0.2,1.6,0.446,0.562,0.226,-2.9,0.038,0.113,0.105,0.559,5.0,16.7,16.7,0.235,78.0,0.0,2,16.1,17.4
Bilal Coulibaly,2023-24,19.0,203.2,27.2,8.4,63,11,4.1,1.7,0.9,0.8,1.4,0.435,0.543,0.139,-11.0,0.031,0.116,0.086,0.175,8.0,8.4,8.4,0.139,63.0,0.0,1,12.3,9.6
Bismack Biyombo,2023-24,31.0,203.2,19.8,4.4,40,20,5.2,1.3,0.3,0.9,1.1,0.565,0.562,0.10600000000000001,-3.8,0.076,0.179,0.087,0.5,4.0,4.3,5.8,0.136,61.0,-0.3500000000000002,13,5.1,2.9
Blake Wesley,2023-24,21.0,190.5,14.4,4.4,61,19,1.5,2.7,0.5,0.1,0.9,0.474,0.537,0.144,-7.8,0.019,0.084,0.257,0.311,6.0,5.0,5.0,0.18,37.0,0.0,2,3.7,6.2
Bobby Portis,2023-24,29.0,208.28,24.5,13.800000000000002,82,49,7.400000000000001,1.3,0.8000000000000002,0.4000000000000001,1.1,0.508,0.581,0.22400000000000003,-0.10000000000000002,0.071,0.228,0.078,0.598,2.0,14.1,14.600000000000001,0.211,70.0,1.3500000000000003,9,13.9,13.5
Bogdan Bogdanović,2023-24,31.0,195.58,30.4,16.9,79,35,3.3999999999999995,3.1,1.2,0.3,1.4,0.428,0.569,0.21800000000000003,1.9,0.021,0.092,0.147,0.443,4.0,14.0,15.1,0.19599999999999998,54.0,-1.199999999999999,7,10.8,14.9
Bol Bol,2023-24,24.0,220.98,10.9,5.2,43,28,3.1999999999999997,0.39999999999999997,0.19999999999999998,0.6,0.39999999999999997,0.616,0.7,0.156,0.09999999999999999,0.069,0.20199999999999999,0.054,0.651,3.0,9.1,2.4,0.177,70.0,3.4499999999999984,5,6.8,5.6
Bones Hyland,2023-24,23.0,187.96,14.599999999999998,6.9,37,20,1.5,2.5,0.7,0.1,1.2,0.386,0.49,0.241,-6.0,0.009,0.088,0.269,0.541,4.0,11.8,10.1,0.271,56.0,1.7000000000000004,3,6.2,8.1
Bradley Beal,2023-24,31.0,193.04,33.3,18.2,53,33,4.4,5.0,1.0,0.5,2.5,0.513,0.607,0.224,3.0,0.033,0.099,0.215,0.623,4.0,23.2,23.2,0.288,50.0,-4.0500000000000025,12,17.0,18.1
Brandin Podziemski,2023-24,21.0,193.04,26.6,9.2,74,41,5.8,3.7,0.8,0.2,1.2,0.45400000000000007,0.54,0.149,5.9,0.057999999999999996,0.149,0.176,0.554,6.0,9.2,9.2,0.149,74.0,0.0,1,11.7,12.4
Brandon Boston,2023-24,22.0,198.12,10.8,5.2,32,17,1.6,0.4,0.3,0.3,0.8,0.404,0.476,0.24,-15.7,0.05,0.093,0.06,0.531,5.0,6.5,6.7,0.237,22.0,-0.20000000000000115,3,10.7,7.8
Brandon Miller,2023-24,21.0,200.66,32.2,17.3,74,18,4.3,2.4,0.9000000000000001,0.6,1.8000000000000003,0.44000000000000006,0.552,0.23500000000000001,-10.2,0.025,0.112,0.114,0.243,6.0,17.3,17.3,0.23500000000000001,74.0,0.0,1,21.0,17.9
Brice Sensabaugh,2023-24,20.0,195.58,18.3,7.5,32,8,3.2,1.7,0.4,0.2,1.5,0.39,0.511,0.201,-14.2,0.027,0.151,0.134,0.25,7.0,7.5,7.5,0.201,32.0,0.0,1,10.9,6.8
Brook Lopez,2023-24,36.0,215.90000000000003,30.5,12.5,79,48,5.2,1.6,0.5,2.4,1.0,0.485,0.608,0.156,5.2,0.049,0.11,0.071,0.608,9.0,15.9,12.400000000000002,0.187,78.0,1.7999999999999978,16,13.0,10.3
Bruce Brown,2023-24,27.0,193.04,27.8,10.8,67,26,4.2,2.9,0.9,0.3,1.3,0.4779999999999999,0.563,0.161,-5.8,0.028,0.126,0.132,0.388,0.0,11.5,9.0,0.174,80.0,1.349999999999999,6,8.3,9.2
Buddy Hield,2023-24,31.0,193.04,25.699999999999996,12.1,84,46,3.2,2.8,0.8,0.5,1.2,0.43600000000000005,0.578,0.186,1.1,0.026999999999999996,0.09800000000000002,0.143,0.548,4.0,16.8,15.6,0.205,80.0,0.0999999999999987,8,11.1,11.1
CJ McCollum,2023-24,32.0,190.5,32.7,20.0,66,42,4.3,4.6,0.9,0.6,1.7,0.459,0.592,0.244,3.7,0.018,0.116,0.209,0.636,5.0,20.9,22.1,0.26,75.0,-1.100000000000004,11,21.1,19.0
Cade Cunningham,2023-24,22.0,198.12,33.5,22.7,62,9,4.3,7.5,0.9,0.4,3.4,0.449,0.546,0.298,-7.9,0.016,0.115,0.359,0.145,5.0,19.9,17.4,0.287,12.0,2.4999999999999982,3,26.1,23.6
Caleb Houstan,2023-24,21.0,203.2,13.8,4.3,59,31,1.4,0.5,0.3,0.1,0.3,0.388,0.582,0.122,-1.8,0.034,0.067,0.051,0.525,6.0,3.8,3.8,0.107,51.0,0.0,2,4.1,6.6
Caleb Martin,2023-24,28.0,195.58,27.4,10.0,64,36,4.4,2.2,0.7,0.5,1.2,0.431,0.531,0.168,1.9,0.042,0.119,0.118,0.563,1.0,9.6,9.2,0.143,71.0,2.299999999999999,5,7.9,9.0
Cam Reddish,2023-24,24.0,200.66,20.5,5.400000000000001,48,27,2.1,1.0,1.0,0.3,0.6,0.389,0.504,0.123,-2.7999999999999994,0.028,0.071,0.062,0.563,3.0,9.7,10.1,0.166,40.0,-0.7500000000000013,5,3.2,6.7
Cam Thomas,2023-24,22.0,190.5,31.400000000000002,22.5,66,23,3.2,2.9,0.7,0.2,1.9,0.442,0.554,0.296,-5.2,0.013,0.089,0.151,0.348,5.0,10.6,8.5,0.268,57.0,2.0999999999999983,3,24.0,20.6
Cam Whitmore,2023-24,19.0,200.66,18.7,12.3,47,19,3.8,0.7,0.6,0.4,1.0,0.454,0.561,0.255,-1.0,0.044000000000000004,0.148,0.058,0.40399999999999997,8.0,12.3,12.3,0.255,47.0,0.0,1,9.4,13.8
Cameron Johnson,2023-24,28.0,203.2,27.6,13.4,58,21,4.3,2.4,0.8,0.3,1.0,0.44600000000000006,0.582,0.19,-3.4,0.032,0.124,0.129,0.362,1.0,15.5,12.5,0.202,42.0,2.949999999999999,5,18.8,10.8
Cameron Payne,2023-24,29.0,190.5,16.7,7.4,78,46,1.5,2.6,0.5,0.1,0.8,0.432,0.566,0.185,-0.8,0.016,0.073,0.22199999999999998,0.59,2.0,10.3,10.8,0.239,48.0,0.9499999999999994,9,6.9,6.9
Caris LeVert,2023-24,29.0,198.12,28.8,14.0,68,38,4.1,5.1,1.1,0.5,1.7,0.421,0.524,0.224,2.8,0.02,0.121,0.258,0.559,2.0,12.1,17.0,0.183,74.0,-4.049999999999999,8,12.1,14.2
Cason Wallace,2023-24,20.0,190.5,20.6,6.800000000000001,82,57,2.3,1.5,0.8999999999999999,0.5,0.5,0.491,0.612,0.127,3.9000000000000004,0.032,0.077,0.092,0.695,7.0,6.800000000000001,6.800000000000001,0.127,82.0,0.0,1,8.4,10.4
Charles Bassey,2023-24,23.0,208.28,10.8,3.3,19,3,4.0,1.1,0.4,0.9,0.8,0.725,0.739,0.10999999999999999,-11.6,0.102,0.265,0.136,0.158,4.0,5.7,3.0,0.152,35.0,2.699999999999999,3,4.4,4.0
Chet Holmgren,2023-24,22.0,215.89999999999998,29.399999999999995,16.5,82,57,7.900000000000001,2.4,0.6,2.3,1.6000000000000003,0.53,0.632,0.21,9.0,0.05600000000000001,0.198,0.11200000000000002,0.695,5.0,16.5,16.5,0.21,82.0,0.0,1,15.0,19.2
Chris Boucher,2023-24,31.0,205.74,14.1,6.4,50,16,4.1,0.5,0.3,0.5,0.6,0.507,0.625,0.16699999999999998,2.4,0.084,0.20200000000000004,0.044,0.32,4.0,9.4,9.4,0.175,76.0,-2.0999999999999996,7,10.0,5.4
