PLAYER,SEASON,AGE,MPG,PPG,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,GP,W,+/-,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Dunston B.,2024-2025,39,15.696969696969697,4.0,109,29,16,17,19,94,22,0,33,15,-55,0.45454545454545453,12,3.0625,4.2
Edwards C.,2024-2025,27,28.647058823529413,20.470588235294116,78,112,1,33,76,72,110,98,34,19,41,0.5588235294117647,0,17.257142857142856,13.4
Fall Y.,2024-2025,30,9.782608695652174,3.9130434782608696,60,1,6,1,19,41,14,0,23,15,47,0.6521739130434783,3,2.2666666666666666,5.2
Feliz A.,2024-2025,27,14.23076923076923,4.730769230769231,46,43,2,13,18,53,15,12,26,17,-3,0.6538461538461539,0,6.15625,6.5
Forrest T.,2024-2025,27,24.764705882352942,9.676470588235293,95,160,8,28,66,65,54,19,34,14,28,0.4117647058823529,0,10.923076923076923,9.2
Fournier E.,2024-2025,32,25.5,15.8125,69,84,5,33,54,64,82,82,32,22,77,0.6875,5,11.121212121212121,15.6
Francisco S.,2024-2025,27,25.515151515151516,14.606060606060606,84,149,12,32,94,61,126,74,33,15,54,0.45454545454545453,0,16.54054054054054,12.7
Gabriel W.,2024-2025,28,17.75,6.75,59,6,15,10,14,45,12,0,16,11,36,0.6875,1,6.114285714285714,7.3
Garuba U.,2024-2025,23,14.380952380952381,4.142857142857143,69,12,8,14,11,55,8,5,21,14,20,0.6666666666666666,4,4.617647058823529,5.9
Giedraitis D.,2024-2025,24,24.06896551724138,5.931034482758621,52,53,2,19,31,59,11,25,29,13,-37,0.4482758620689655,3,2.125,5.9
Giffey N.,2024-2025,34,17.782608695652176,6.304347826086956,45,20,4,4,19,61,12,29,23,12,37,0.5217391304347826,7,4.709677419354839,6.3
Grant J.,2024-2025,32,26.12121212121212,8.393939393939394,58,109,2,28,25,69,46,35,33,21,74,0.6363636363636364,5,7.371428571428571,7.3
Guduric M.,2024-2025,30,22.096774193548388,11.03225806451613,80,100,2,24,66,79,83,41,31,22,104,0.7096774193548387,3,9.942857142857143,10.5
