PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,REALE_NEXT_PPG,PREDIZIONE
Gary Trent Jr.,2023-24,25.0,195.58,28.1,13.7,71,24,2.6,1.7,0.426,0.548,0.195,-4.6,0.338,2.0,0.8658536585365854,17.4,18.3,-3.6999999999999993,0.209,66.0,11.1,13.4
Georges Niang,2023-24,31.0,200.66,22.3,9.4,82,48,3.4,1.2,0.449,0.583,0.173,0.6,0.585,4.0,1.0,8.2,9.2,1.200000000000001,0.162,78.0,9.9,8.5
Giannis Antetokounmpo,2023-24,29.0,210.82,35.2,30.4,73,45,11.5,6.5,0.611,0.649,0.32,6.6,0.616,2.0,0.8902439024390244,31.1,29.9,-0.7000000000000028,0.373,63.0,30.4,29.5
Goga Bitadze,2023-24,24.0,208.28,15.4,5.0,62,34,4.6,1.3,0.603,0.629,0.129,1.8,0.548,3.0,0.7560975609756098,4.4,7.0,0.5999999999999996,0.147,38.0,7.2,6.1
Gradey Dick,2023-24,20.0,198.12,21.1,8.5,60,18,2.2,1.1,0.425,0.546,0.167,-13.9,0.3,7.0,0.7317073170731707,8.5,8.5,0.0,0.167,60.0,14.4,9.8
Grant Williams,2023-24,25.0,198.12,28.0,10.3,76,34,4.2,2.3,0.456,0.588,0.157,-5.7,0.447,2.0,0.926829268292683,8.1,7.8,2.200000000000001,0.128,79.0,10.4,9.9
Grayson Allen,2023-24,28.0,193.04,33.5,13.5,75,45,3.9,3.0,0.499,0.679,0.143,5.1,0.6,1.0,0.9146341463414634,10.4,11.1,3.0999999999999996,0.143,72.0,10.6,12.2
Gui Santos,2023-24,22.0,198.12,8.4,3.6,23,17,2.1,0.6,0.509,0.656,0.142,3.4,0.739,5.0,0.2804878048780488,3.6,3.6,0.0,0.142,23.0,4.1,6.1
Harrison Barnes,2023-24,32.0,203.2,29.0,12.2,82,46,3.0,1.2,0.474,0.611,0.154,-1.7,0.561,5.0,1.0,15.0,16.4,-2.8000000000000007,0.168,82.0,12.3,10.8
Haywood Highsmith,2023-24,27.0,195.58,20.7,6.1,66,39,3.2,1.1,0.465,0.587,0.121,1.1,0.591,0.0,0.8048780487804879,4.4,2.3,1.6999999999999993,0.121,54.0,6.5,5.7
Herbert Jones,2023-24,25.0,200.66,30.5,11.0,76,46,3.6,2.6,0.498,0.636,0.141,5.5,0.605,2.0,0.926829268292683,9.8,9.5,1.1999999999999993,0.144,66.0,10.3,10.9
Immanuel Quickley,2023-24,25.0,187.96,29.2,17.0,68,28,3.8,4.9,0.434,0.577,0.233,-1.0,0.412,2.0,0.8292682926829268,14.9,11.3,2.0999999999999996,0.203,81.0,17.1,16.4
Isaac Okoro,2023-24,23.0,195.58,27.3,9.4,69,41,3.0,1.9,0.49,0.599,0.136,2.4,0.594,4.0,0.8414634146341463,6.4,8.8,3.0,0.117,76.0,6.1,10.2
Isaiah Hartenstein,2023-24,26.0,213.36,25.3,7.8,75,47,8.3,2.5,0.644,0.67,0.116,10.0,0.627,1.0,0.9146341463414634,5.0,8.3,2.8,0.107,82.0,11.2,8.2
Isaiah Jackson,2023-24,22.0,205.74,12.8,6.4,60,37,4.0,0.8,0.665,0.689,0.165,2.7,0.617,5.0,0.7317073170731707,7.2,8.3,-0.7999999999999998,0.165,63.0,7.0,8.6
Isaiah Joe,2023-24,24.0,190.5,18.5,8.2,78,54,2.3,1.3,0.458,0.626,0.157,9.1,0.692,3.0,0.9512195121951219,9.5,3.6,-1.3000000000000007,0.17,73.0,10.2,9.9
Isaiah Stewart,2023-24,23.0,203.2,30.9,10.9,46,9,6.6,1.6,0.487,0.6,0.143,-4.2,0.196,4.0,0.5609756097560976,11.3,8.3,-0.40000000000000036,0.17,50.0,6.0,10.0
Ivica Zubac,2023-24,27.0,213.36,26.4,11.7,68,42,9.2,1.4,0.649,0.671,0.165,4.7,0.618,0.0,0.8292682926829268,10.8,10.3,0.8999999999999986,0.149,76.0,16.8,11.2
JT Thor,2023-24,21.0,205.74,12.4,3.2,63,16,2.3,0.5,0.437,0.519,0.113,-3.2,0.254,6.0,0.7682926829268293,3.8,2.0,-0.5999999999999996,0.13,69.0,3.6,5.0
Jabari Smith Jr.,2023-24,21.0,210.82,31.9,13.7,76,39,8.1,1.6,0.454,0.571,0.174,-1.9,0.513,6.0,0.926829268292683,12.8,12.8,0.8999999999999986,0.183,79.0,12.2,15.0
Jabari Walker,2023-24,21.0,200.66,23.6,8.9,72,18,7.1,1.0,0.46,0.546,0.159,-9.5,0.25,6.0,0.8780487804878049,3.9,3.9,5.0,0.164,56.0,5.2,9.2
Jaden Hardy,2023-24,21.0,190.5,13.6,7.3,73,44,1.8,1.5,0.407,0.517,0.238,-6.5,0.603,6.0,0.8902439024390244,8.8,8.8,-1.5000000000000009,0.248,48.0,8.7,10.1
Jaden Ivey,2023-24,22.0,193.04,28.8,15.4,77,14,3.4,3.8,0.429,0.536,0.244,-7.7,0.182,5.0,0.9390243902439024,16.3,16.3,-0.9000000000000004,0.251,74.0,17.6,15.4
Jaden McDaniels,2023-24,23.0,205.74,29.2,10.5,72,48,3.1,1.4,0.489,0.571,0.156,3.8,0.667,4.0,0.8780487804878049,12.1,9.2,-1.5999999999999996,0.156,79.0,12.2,11.5
Jaden Springer,2023-24,21.0,193.04,10.3,3.3,49,32,1.6,0.9,0.399,0.49,0.167,-0.5,0.653,6.0,0.5975609756097561,2.6,1.0,0.6999999999999997,0.188,16.0,2.5,5.9
Jae Crowder,2023-24,33.0,198.12,23.1,6.2,50,25,3.2,1.3,0.422,0.546,0.113,-2.6,0.5,6.0,0.6097560975609756,6.9,9.4,-0.7000000000000002,0.125,18.0,2.6,4.4
Jae'Sean Tate,2023-24,28.0,193.04,15.9,4.1,65,32,3.0,1.0,0.472,0.538,0.115,5.1,0.492,1.0,0.7926829268292683,9.1,11.8,-5.0,0.178,31.0,3.6,4.7
Jaime Jaquez Jr.,2023-24,23.0,198.12,28.2,11.9,75,44,3.8,2.6,0.489,0.574,0.181,2.8,0.587,4.0,0.9146341463414634,11.9,11.9,0.0,0.181,75.0,8.6,12.9
Jake LaRavia,2023-24,22.0,200.66,23.0,10.8,35,8,3.7,1.7,0.389,0.54,0.201,-6.7,0.229,5.0,0.4268292682926829,3.0,3.0,7.800000000000001,0.117,35.0,6.9,9.8
Jakob Poeltl,2023-24,28.0,213.36,26.4,11.1,50,21,8.6,2.5,0.656,0.653,0.16,-0.6,0.42,1.0,0.6097560975609756,12.5,13.5,-1.4000000000000004,0.18,72.0,14.5,10.0
Jalen Brunson,2023-24,27.0,187.96,35.4,28.7,77,49,3.6,6.7,0.479,0.592,0.311,8.6,0.636,0.0,0.9390243902439024,24.0,16.3,4.699999999999999,0.266,68.0,26.0,27.0
Jalen Duren,2023-24,20.0,208.28,29.1,13.8,61,13,11.6,2.4,0.619,0.653,0.181,-7.6,0.213,7.0,0.7439024390243902,9.1,9.1,4.700000000000001,0.139,67.0,11.8,14.1
Jalen Green,2023-24,22.0,193.04,31.7,19.6,82,41,5.2,3.5,0.423,0.541,0.27,0.0,0.5,5.0,1.0,22.1,17.3,-2.5,0.274,76.0,21.0,20.6
Jalen Johnson,2023-24,22.0,203.2,33.7,16.0,56,27,8.7,3.6,0.511,0.584,0.184,-1.9,0.482,5.0,0.6829268292682927,5.6,2.4,10.4,0.156,70.0,18.9,15.2
Jalen McDaniels,2023-24,26.0,205.74,10.8,3.4,50,12,1.6,0.7,0.344,0.412,0.179,-14.1,0.24,1.0,0.6097560975609756,9.4,6.2,-6.0,0.165,80.0,0.0,3.9
Jalen Pickett,2023-24,24.0,187.96,4.5,1.6,27,20,0.5,0.8,0.429,0.571,0.164,-2.4,0.741,3.0,0.32926829268292684,1.6,1.6,0.0,0.164,27.0,4.1,3.8
Jalen Smith,2023-24,24.0,205.74,17.2,9.9,61,36,5.5,1.0,0.592,0.682,0.187,1.0,0.59,3.0,0.7439024390243902,9.4,9.2,0.5,0.201,68.0,8.2,11.0
Jalen Suggs,2023-24,23.0,195.58,27.0,12.6,75,43,3.1,2.7,0.471,0.602,0.191,1.0,0.573,4.0,0.9146341463414634,9.9,11.8,2.6999999999999993,0.196,53.0,16.2,13.2
Jalen Williams,2023-24,23.0,195.58,31.3,19.1,71,51,4.0,4.5,0.54,0.621,0.232,8.8,0.718,4.0,0.8658536585365854,14.1,14.1,5.000000000000002,0.18,75.0,21.6,19.7
Jalen Wilson,2023-24,23.0,198.12,15.5,5.0,43,14,3.0,1.0,0.425,0.537,0.138,-1.6,0.326,4.0,0.524390243902439,5.0,5.0,0.0,0.138,43.0,9.5,5.8
Jamal Cain,2023-24,25.0,198.12,10.0,3.7,26,14,1.4,0.4,0.43,0.544,0.158,-3.4,0.538,2.0,0.3170731707317073,5.4,5.4,-1.7000000000000002,0.139,18.0,5.3,4.5
Jamal Murray,2023-24,27.0,193.04,31.5,21.2,59,44,4.1,6.5,0.481,0.586,0.273,8.2,0.746,0.0,0.7195121951219512,20.0,21.2,1.1999999999999993,0.256,65.0,21.4,21.0
James Harden,2023-24,34.0,195.58,34.3,16.6,72,46,5.1,8.5,0.428,0.612,0.202,5.6,0.639,7.0,0.8780487804878049,21.0,22.0,-4.399999999999999,0.247,58.0,22.8,15.9
James Wiseman,2023-24,23.0,210.82,17.3,7.1,63,9,5.3,0.9,0.613,0.637,0.158,-13.4,0.143,4.0,0.7682926829268293,10.0,11.5,-2.9000000000000004,0.212,45.0,6.0,7.2
Jarace Walker,2023-24,20.0,200.66,10.3,3.6,33,18,1.9,1.2,0.409,0.527,0.155,2.7,0.545,7.0,0.4024390243902439,3.6,3.6,0.0,0.155,33.0,6.1,6.5
Jared Butler,2023-24,23.0,190.5,14.1,6.3,40,6,1.5,3.2,0.488,0.579,0.194,-3.8,0.15,4.0,0.4878048780487805,6.2,3.8,0.09999999999999964,0.208,6.0,9.0,6.1
Jared Rhoden,2023-24,24.0,195.58,14.4,4.9,17,2,1.9,0.8,0.5,0.597,0.135,-9.4,0.118,3.0,0.2073170731707317,3.2,3.2,1.7000000000000002,0.106,14.0,8.4,3.9
Jaren Jackson Jr.,2023-24,24.0,208.28,32.2,22.5,66,22,5.5,2.3,0.444,0.553,0.302,-7.3,0.333,3.0,0.8048780487804879,18.6,16.3,3.8999999999999986,0.243,63.0,22.2,20.7
Jarred Vanderbilt,2023-24,25.0,203.2,20.0,5.2,29,14,4.8,1.2,0.518,0.578,0.111,4.2,0.483,2.0,0.35365853658536583,7.9,6.9,-2.7,0.136,78.0,4.1,5.9
Jarrett Allen,2023-24,26.0,205.74,31.7,16.5,77,46,10.5,2.7,0.634,0.664,0.191,4.8,0.597,1.0,0.9390243902439024,14.3,16.1,2.1999999999999993,0.162,68.0,13.5,16.2
Jaxson Hayes,2023-24,24.0,213.36,12.5,4.3,70,41,3.0,0.5,0.72,0.718,0.121,-4.7,0.586,3.0,0.8536585365853658,5.0,9.3,-0.7000000000000002,0.149,47.0,6.8,5.6
Jaylen Brown,2023-24,27.0,198.12,33.5,23.0,70,52,5.5,3.6,0.499,0.58,0.283,8.7,0.743,0.0,0.8536585365853658,26.6,23.6,-3.6000000000000014,0.307,67.0,22.2,22.7
Jaylen Nowell,2023-24,24.0,193.04,16.4,6.2,13,3,1.8,1.5,0.436,0.494,0.176,-7.4,0.231,3.0,0.15853658536585366,10.8,8.5,-4.6000000000000005,0.238,65.0,8.4,6.5
Jaylin Williams,2023-24,22.0,205.74,13.0,4.0,69,48,3.4,1.6,0.417,0.561,0.133,6.8,0.696,5.0,0.8414634146341463,5.9,5.9,-1.9000000000000004,0.133,49.0,5.9,7.4
Jayson Tatum,2023-24,26.0,203.2,35.7,26.9,74,57,8.1,4.9,0.471,0.604,0.296,11.2,0.77,1.0,0.9024390243902439,30.1,26.9,-3.200000000000003,0.319,74.0,26.8,27.5
Jeff Dowtin Jr.,2023-24,27.0,190.5,11.8,4.3,12,7,1.7,2.3,0.556,0.689,0.124,6.8,0.583,0.0,0.14634146341463414,2.4,2.1,1.9,0.106,25.0,7.0,4.1
Jeff Green,2023-24,37.0,203.2,16.8,6.5,78,39,2.3,0.9,0.456,0.59,0.152,-2.9,0.5,10.0,0.9512195121951219,7.8,10.3,-1.2999999999999998,0.167,56.0,5.4,4.6
Jerami Grant,2023-24,30.0,200.66,33.9,21.0,54,17,3.5,2.8,0.451,0.573,0.255,-9.6,0.315,3.0,0.6585365853658537,20.5,19.2,0.5,0.227,63.0,14.4,17.8
Jeremiah Robinson-Earl,2023-24,23.0,203.2,8.6,2.9,39,22,1.9,0.5,0.474,0.564,0.144,-1.9,0.564,4.0,0.47560975609756095,6.8,7.5,-3.9,0.143,43.0,6.3,5.3
Jeremy Sochan,2023-24,21.0,203.2,29.6,11.6,74,18,6.4,3.4,0.438,0.513,0.187,-7.0,0.243,6.0,0.9024390243902439,11.0,11.0,0.5999999999999996,0.195,56.0,11.4,12.1
Jericho Sims,2023-24,25.0,208.28,13.0,2.0,45,30,3.3,0.6,0.691,0.702,0.06,-0.7,0.667,2.0,0.5487804878048781,3.4,2.2,-1.4,0.074,52.0,1.8,3.1
Jevon Carter,2023-24,28.0,185.42000000000002,13.9,5.0,72,35,0.8,1.3,0.378,0.485,0.168,1.4,0.486,1.0,0.8780487804878049,8.0,4.2,-3.0,0.149,81.0,4.3,5.4
Jimmy Butler III,2023-24,34.0,200.66,34.0,20.8,60,33,5.3,5.0,0.499,0.626,0.235,5.5,0.55,7.0,0.7317073170731707,22.9,21.4,-2.099999999999998,0.248,64.0,17.5,18.5
Jock Landale,2023-24,28.0,210.82,13.6,4.9,56,28,3.1,1.2,0.515,0.584,0.139,9.6,0.5,1.0,0.6829268292682927,6.6,4.9,-1.6999999999999993,0.182,69.0,4.8,5.0
Joe Ingles,2023-24,36.0,205.74,17.2,4.4,68,42,2.1,3.0,0.436,0.612,0.111,5.8,0.618,9.0,0.8292682926829268,6.9,7.2,-2.5,0.122,46.0,0.8,3.5
Joel Embiid,2023-24,30.0,213.36,33.6,34.7,39,31,11.0,5.6,0.529,0.644,0.387,10.3,0.795,3.0,0.47560975609756095,33.1,30.6,1.6000000000000014,0.37,66.0,23.8,33.4
John Collins,2023-24,26.0,205.74,28.0,15.1,68,27,8.5,1.1,0.532,0.621,0.199,-7.5,0.397,1.0,0.8292682926829268,13.1,16.2,2.0,0.168,71.0,19.0,14.2
John Konchar,2023-24,28.0,195.58,21.3,4.3,55,18,4.7,2.0,0.423,0.537,0.096,-5.9,0.327,1.0,0.6707317073170732,5.1,4.8,-0.7999999999999998,0.1,72.0,2.4,3.7
Johnny Davis,2023-24,22.0,193.04,12.3,3.0,50,8,1.4,0.6,0.403,0.462,0.117,-10.3,0.16,5.0,0.6097560975609756,5.8,5.8,-2.8,0.192,28.0,2.4,4.1
Johnny Juzang,2023-24,23.0,195.58,18.6,7.2,20,5,1.8,1.2,0.464,0.62,0.147,-1.8,0.25,4.0,0.24390243902439024,4.8,4.8,2.4000000000000004,0.187,18.0,8.9,6.6
Jonas Valančiūnas,2023-24,32.0,210.82,23.5,12.2,82,49,8.8,2.1,0.559,0.619,0.207,3.9,0.598,5.0,1.0,14.1,17.8,-1.9000000000000004,0.229,79.0,10.4,11.8
Jonathan Isaac,2023-24,26.0,208.28,15.8,6.8,58,35,4.5,0.5,0.51,0.61,0.16,10.9,0.603,1.0,0.7073170731707317,5.0,11.9,1.7999999999999998,0.198,11.0,5.4,7.2
Jonathan Kuminga,2023-24,21.0,200.66,26.3,16.1,74,40,4.8,2.2,0.529,0.598,0.237,2.9,0.541,6.0,0.9024390243902439,9.9,9.3,6.200000000000001,0.195,67.0,15.3,16.7
Jordan Clarkson,2023-24,32.0,190.5,30.6,17.1,55,22,3.4,5.0,0.413,0.521,0.255,-5.7,0.4,5.0,0.6707317073170732,20.8,16.0,-3.6999999999999993,0.273,61.0,16.2,14.9
Jordan Goodwin,2023-24,25.0,193.04,18.5,6.5,57,30,4.4,2.7,0.369,0.451,0.182,-4.1,0.526,2.0,0.6951219512195121,6.6,0.0,-0.09999999999999964,0.165,62.0,5.6,7.2
Jordan Hawkins,2023-24,22.0,195.58,17.3,7.8,67,38,2.2,1.0,0.382,0.533,0.188,-0.9,0.567,5.0,0.8170731707317073,7.8,7.8,0.0,0.188,67.0,10.8,9.8
Jordan McLaughlin,2023-24,28.0,182.88,11.2,3.5,56,35,1.3,2.0,0.483,0.638,0.119,11.0,0.625,1.0,0.6829268292682927,3.7,3.8,-0.20000000000000018,0.112,43.0,2.1,4.3
Jordan Poole,2023-24,25.0,193.04,30.1,17.4,78,15,2.7,4.4,0.413,0.529,0.256,-11.1,0.192,2.0,0.9512195121951219,20.4,18.5,-3.0,0.282,82.0,20.5,16.4
Jose Alvarado,2023-24,26.0,182.88,18.4,7.1,56,38,2.3,2.1,0.412,0.54,0.168,12.0,0.679,1.0,0.6829268292682927,9.0,6.1,-1.9000000000000004,0.191,61.0,10.3,8.2
Josh Giddey,2023-24,21.0,203.2,25.1,12.3,80,56,6.4,4.8,0.475,0.547,0.223,8.2,0.7,6.0,0.975609756097561,16.6,12.5,-4.300000000000001,0.239,76.0,14.6,15.6
Josh Green,2023-24,23.0,195.58,26.4,8.2,57,32,3.2,2.3,0.479,0.588,0.129,-2.1,0.561,4.0,0.6951219512195121,9.1,4.8,-0.9000000000000004,0.14,60.0,7.4,8.9
Josh Hart,2023-24,29.0,193.04,33.4,9.4,81,49,8.3,4.1,0.434,0.522,0.133,6.6,0.605,2.0,0.9878048780487805,9.8,14.9,-0.40000000000000036,0.124,76.0,13.6,9.5
Josh Okogie,2023-24,25.0,193.04,16.0,4.6,60,37,2.6,1.1,0.417,0.552,0.125,1.3,0.617,2.0,0.7317073170731707,7.3,2.7,-2.7,0.174,72.0,7.1,6.1
Josh Richardson,2023-24,30.0,195.58,25.6,9.9,43,24,2.8,2.4,0.444,0.573,0.159,-5.0,0.558,3.0,0.524390243902439,10.1,10.2,-0.1999999999999993,0.18,65.0,4.0,8.6
Jrue Holiday,2023-24,34.0,193.04,32.8,12.5,69,53,5.4,4.8,0.48,0.597,0.161,9.7,0.768,7.0,0.8414634146341463,19.3,18.3,-6.800000000000001,0.244,67.0,11.1,12.1
Julian Champagnie,2023-24,23.0,200.66,19.8,6.8,74,19,2.8,1.4,0.408,0.57,0.14,-4.5,0.257,4.0,0.9024390243902439,9.7,9.7,-2.8999999999999995,0.181,17.0,9.9,7.4
Julian Phillips,2023-24,20.0,203.2,8.1,2.2,40,20,0.9,0.3,0.416,0.521,0.121,0.4,0.5,7.0,0.4878048780487805,2.2,2.2,0.0,0.121,40.0,4.6,5.1
Julian Strawther,2023-24,22.0,198.12,10.9,4.5,50,34,1.2,0.9,0.369,0.482,0.193,-9.8,0.68,5.0,0.6097560975609756,4.5,4.5,0.0,0.193,50.0,9.0,7.0
Julius Randle,2023-24,29.0,203.2,35.4,24.0,46,29,9.2,5.0,0.472,0.569,0.287,6.0,0.63,2.0,0.5609756097560976,25.1,20.1,-1.1000000000000014,0.288,77.0,18.7,22.7
Justin Champagnie,2023-24,23.0,198.12,15.7,5.9,15,3,3.5,1.3,0.41,0.526,0.162,-11.1,0.2,4.0,0.18292682926829268,2.2,2.3,3.7,0.188,5.0,8.8,5.3
Justin Minaya,2023-24,25.0,195.58,11.2,1.8,34,3,1.6,0.6,0.297,0.391,0.093,-8.6,0.088,2.0,0.4146341463414634,4.3,4.3,-2.5,0.123,4.0,0.9,1.8
Jusuf Nurkić,2023-24,29.0,213.36,27.3,10.9,76,48,11.0,4.0,0.51,0.559,0.187,9.2,0.632,2.0,0.926829268292683,13.3,15.0,-2.4000000000000004,0.218,52.0,8.9,11.3
KJ Martin,2023-24,23.0,198.12,12.4,3.7,60,33,2.2,0.9,0.536,0.563,0.127,0.2,0.55,4.0,0.7317073170731707,12.7,8.8,-9.0,0.16,82.0,6.4,6.7
Karl-Anthony Towns,2023-24,28.0,213.36,32.7,21.8,62,42,8.3,3.0,0.504,0.625,0.268,7.2,0.677,1.0,0.7560975609756098,20.8,24.6,1.0,0.25,29.0,24.4,20.7
Kawhi Leonard,2023-24,33.0,200.66,34.3,23.7,68,44,6.1,3.6,0.525,0.626,0.261,8.2,0.647,6.0,0.8292682926829268,23.8,24.8,-0.10000000000000142,0.267,52.0,21.5,21.5
Keegan Murray,2023-24,23.0,203.2,33.6,15.2,77,43,5.5,1.7,0.454,0.569,0.178,2.7,0.558,4.0,0.9390243902439024,12.2,12.2,3.0,0.156,80.0,12.4,15.3
Keldon Johnson,2023-24,24.0,195.58,29.5,15.7,69,17,5.5,2.8,0.454,0.565,0.212,-7.7,0.246,3.0,0.8414634146341463,22.0,17.0,-6.300000000000001,0.273,63.0,12.7,15.6
Kelly Olynyk,2023-24,33.0,210.82,22.5,9.8,78,31,5.3,4.4,0.555,0.661,0.171,-7.3,0.397,6.0,0.9512195121951219,12.5,9.1,-2.6999999999999993,0.176,68.0,8.7,8.2
Kelly Oubre Jr.,2023-24,28.0,200.66,30.2,15.4,68,40,5.0,1.5,0.441,0.535,0.22,0.1,0.588,1.0,0.8292682926829268,20.3,15.0,-4.9,0.257,48.0,15.1,14.5
Kenrich Williams,2023-24,29.0,198.12,14.9,4.7,69,49,3.0,1.3,0.468,0.568,0.132,8.4,0.71,2.0,0.8414634146341463,8.0,7.4,-3.3,0.134,53.0,6.3,5.7
Kentavious Caldwell-Pope,2023-24,31.0,195.58,31.6,10.1,76,54,2.4,2.4,0.46,0.602,0.126,11.3,0.711,4.0,0.926829268292683,10.8,13.2,-0.7000000000000011,0.136,76.0,8.7,9.3
Keon Ellis,2023-24,24.0,190.5,17.2,5.4,57,33,2.2,1.5,0.461,0.627,0.123,5.5,0.579,3.0,0.6951219512195121,1.5,1.5,3.9000000000000004,0.124,16.0,8.3,6.0
Kessler Edwards,2023-24,23.0,200.66,5.1,1.7,54,32,0.8,0.3,0.415,0.541,0.134,-6.3,0.593,4.0,0.6585365853658537,2.8,5.9,-1.0999999999999999,0.119,36.0,4.2,4.4
Kevin Durant,2023-24,35.0,210.82,37.2,27.1,75,44,6.6,5.0,0.523,0.626,0.283,4.8,0.587,8.0,0.9146341463414634,29.1,29.9,-2.0,0.305,47.0,26.6,24.4
Kevin Huerter,2023-24,25.0,200.66,24.4,10.2,64,37,3.5,2.6,0.443,0.564,0.173,2.5,0.578,2.0,0.7804878048780488,15.2,12.1,-5.0,0.197,75.0,9.9,11.2
Kevin Knox II,2023-24,24.0,200.66,18.1,7.2,31,4,2.4,0.7,0.462,0.57,0.157,-7.8,0.129,3.0,0.3780487804878049,6.6,3.1,0.6000000000000005,0.175,63.0,3.3,6.3
Kevin Love,2023-24,35.0,203.2,16.8,8.8,55,31,6.1,2.1,0.44,0.597,0.21,6.5,0.564,8.0,0.6707317073170732,8.2,13.6,0.6000000000000014,0.185,62.0,5.3,7.8
Kevon Looney,2023-24,28.0,205.74,16.1,4.5,74,43,5.7,1.8,0.597,0.62,0.11,1.4,0.581,1.0,0.9024390243902439,7.0,6.0,-2.5,0.104,82.0,4.5,5.3
Keyonte George,2023-24,20.0,193.04,27.0,13.0,75,27,2.8,4.4,0.391,0.533,0.224,-9.3,0.36,7.0,0.9146341463414634,13.0,13.0,0.0,0.224,75.0,16.8,14.6
Khris Middleton,2023-24,32.0,200.66,27.0,15.1,55,31,4.7,5.3,0.493,0.595,0.23,3.4,0.564,5.0,0.6707317073170732,15.1,20.1,0.0,0.259,33.0,11.9,13.7
Killian Hayes,2023-24,22.0,195.58,24.0,6.9,42,7,2.8,4.9,0.413,0.474,0.147,-11.1,0.167,5.0,0.5121951219512195,10.3,6.9,-3.4000000000000004,0.201,76.0,9.0,7.7
Klay Thompson,2023-24,34.0,198.12,29.7,17.9,77,41,3.3,2.3,0.432,0.576,0.234,-0.3,0.532,7.0,0.9390243902439024,21.9,20.4,-4.0,0.256,69.0,14.0,15.9
Kobe Brown,2023-24,24.0,200.66,9.0,2.0,44,27,1.4,0.6,0.411,0.49,0.104,-10.5,0.614,3.0,0.5365853658536586,2.0,2.0,0.0,0.104,44.0,1.9,3.9
Kobe Bufkin,2023-24,20.0,195.58,11.5,4.8,17,8,1.9,1.6,0.37,0.424,0.221,-7.9,0.471,7.0,0.2073170731707317,4.8,4.8,0.0,0.221,17.0,5.3,6.9
Kris Dunn,2023-24,30.0,190.5,18.9,5.4,66,25,2.9,3.8,0.47,0.546,0.132,0.4,0.379,3.0,0.8048780487804879,13.2,7.6,-7.799999999999999,0.195,22.0,6.4,5.1
Kris Murray,2023-24,23.0,203.2,21.7,6.1,62,12,3.6,1.3,0.396,0.481,0.136,-6.0,0.194,4.0,0.7560975609756098,6.1,6.1,0.0,0.136,62.0,4.2,6.2
Kristaps Porziņģis,2023-24,28.0,218.44,29.6,20.1,57,43,7.2,2.0,0.516,0.647,0.247,11.2,0.754,1.0,0.6951219512195121,23.2,20.2,-3.099999999999998,0.272,65.0,19.5,19.7
Kyle Anderson,2023-24,30.0,205.74,22.6,6.4,79,55,3.5,4.2,0.46,0.513,0.14,5.1,0.696,3.0,0.9634146341463414,9.4,7.6,-3.0,0.143,69.0,5.9,6.8
Kyle Kuzma,2023-24,28.0,205.74,32.6,22.2,70,13,6.6,4.2,0.463,0.547,0.295,-11.0,0.186,1.0,0.8536585365853658,21.2,17.1,1.0,0.273,64.0,14.8,19.2
Kyle Lowry,2023-24,38.0,182.88,28.2,8.1,60,32,3.2,4.2,0.432,0.594,0.128,-0.3,0.533,11.0,0.7317073170731707,11.2,13.4,-3.0999999999999996,0.162,55.0,3.9,6.0
Kyrie Irving,2023-24,32.0,187.96,35.0,25.6,58,39,5.0,5.2,0.497,0.608,0.274,6.9,0.672,5.0,0.7073170731707317,27.1,27.4,-1.5,0.286,60.0,24.7,24.0
LaMelo Ball,2023-24,22.0,200.66,32.3,23.9,22,7,5.1,8.0,0.433,0.561,0.315,-8.4,0.318,5.0,0.2682926829268293,23.3,20.1,0.5999999999999979,0.289,36.0,25.2,23.6
Lamar Stevens,2023-24,26.0,200.66,14.7,7.2,38,22,3.3,0.7,0.45,0.516,0.213,1.3,0.579,1.0,0.4634146341463415,5.3,6.1,1.9000000000000004,0.136,62.0,4.4,7.3
Landry Shamet,2023-24,27.0,193.04,15.8,7.1,46,6,1.3,1.2,0.431,0.556,0.181,-9.9,0.13,0.0,0.5609756097560976,8.7,8.3,-1.5999999999999996,0.186,40.0,5.7,5.6
Larry Nance Jr.,2023-24,31.0,203.2,19.9,5.7,61,34,5.0,1.9,0.573,0.653,0.112,3.3,0.557,4.0,0.7439024390243902,6.8,7.0,-1.0999999999999996,0.118,65.0,8.5,5.1
Lauri Markkanen,2023-24,27.0,213.36,33.1,23.2,55,22,8.2,2.0,0.48,0.631,0.241,0.6,0.4,0.0,0.6707317073170732,25.6,14.8,-2.400000000000002,0.259,66.0,19.0,21.2
LeBron James,2023-24,39.0,205.74,35.3,25.7,71,41,7.3,8.3,0.54,0.63,0.285,3.8,0.577,12.0,0.8658536585365854,28.9,30.3,-3.1999999999999993,0.322,55.0,24.4,23.1
Lester Quinones,2023-24,23.0,193.04,10.7,4.4,37,24,1.9,1.0,0.397,0.533,0.171,0.6,0.649,4.0,0.45121951219512196,2.5,2.5,1.9000000000000004,0.283,4.0,6.6,5.9
Lindy Waters III,2023-24,26.0,198.12,7.4,3.6,38,25,1.1,0.6,0.471,0.653,0.167,-7.7,0.658,1.0,0.4634146341463415,5.2,8.0,-1.6,0.148,41.0,4.9,4.9
