iter	RMSE
504	2.452039621
505	2.451013047
506	2.449960881
507	2.449318095
508	2.44828894
509	2.446916785
510	2.446356666
511	2.445376877
512	2.444298457
513	2.443392547
514	2.44288105
515	2.442212323
516	2.441301196
517	2.440544019
518	2.439569933
519	2.439062731
520	2.438133665
521	2.437689458
522	2.436942751
523	2.43613816
524	2.434976792
525	2.434872041
526	2.434050976
527	2.433448401
528	2.432813439
529	2.432118414
530	2.430912216
531	2.430405518
532	2.429511467
533	2.428317408
534	2.427528561
535	2.426688923
536	2.426499769
537	2.425758703
538	2.425522279
539	2.42485108
540	2.424075948
541	2.423575951
542	2.422796516
543	2.421962355
544	2.421067612
545	2.420244081
546	2.419251443
547	2.418327866
548	2.417821391
549	2.41717555
550	2.416297462
551	2.415809522
552	2.415174534
553	2.414839282
554	2.413725472
555	2.412914101
556	2.412032608
557	2.41145432
558	2.410923498
559	2.410608302
560	2.410216512
561	2.409516536
562	2.408766391
563	2.407833659
564	2.407771274
565	2.407278325
566	2.405960835
567	2.405404783
568	2.404442294
569	2.40377405
570	2.402635482
571	2.402603048
572	2.4012834
573	2.400069749
574	2.39907054
575	2.39858121
576	2.398548704
577	2.397830112
578	2.397296858
579	2.3967104
580	2.396066731
581	2.395127782
582	2.393958685
583	2.39380619
584	2.393532732
585	2.392713111
586	2.392499021
587	2.39154094
588	2.390452482
589	2.389783681
590	2.388979741
591	2.388510051
592	2.387729016
593	2.387290788
594	2.387051672
595	2.386383838
596	2.385345102
597	2.38501456
598	2.383772171
599	2.382641957
600	2.382000742
601	2.38147715
602	2.380629871
603	2.379868607
604	2.379634808
605	2.378838879
606	2.377951688
607	2.377537929
608	2.377044371
609	2.376414555
610	2.375660981
611	2.375040926
612	2.375013607
613	2.374361005
614	2.373693286
615	2.372970667
616	2.372230717
617	2.371609921
618	2.370620189
619	2.369901047
620	2.369237972
621	2.368851108
622	2.368227949
623	2.36729409
624	2.366708674
625	2.365857413
626	2.365454851
627	2.3650165
628	2.364459515
629	2.364030875
630	2.363575103
631	2.362920678
632	2.362177531
633	2.361660732
634	2.360746091
635	2.359987029
636	2.359082941
637	2.358917379
638	2.357643941
639	2.356513495
640	2.356482862
641	2.355758291
642	2.355221486
643	2.354404701
644	2.353455956
645	2.352646241
646	2.352254531
647	2.350809444
648	2.350108857
649	2.349207829
650	2.348530089
651	2.347980126
652	2.346721679
653	2.346362283
654	2.345616454
655	2.345242918
656	2.344621118
657	2.343893976
658	2.342935429
659	2.34291401
660	2.342588994
661	2.341711499
662	2.340933953
663	2.340225391
664	2.339642136
665	2.338736999
666	2.33798396
667	2.337525737
668	2.336532174
669	2.335754647
670	2.334989311
671	2.334461447
672	2.333810081
673	2.333624477
674	2.332991803
675	2.33235981
676	2.332094405
677	2.331863919
678	2.331220247
679	2.329840293
680	2.329015501
681	2.328457813
682	2.32785113
683	2.327264608
684	2.326755219
685	2.326098891
686	2.325365764
687	2.325216568
688	2.324808677
689	2.324783668
690	2.323941643
691	2.323544261
692	2.322516433
693	2.321711528
694	2.321253148
695	2.320404015
696	2.319307404
697	2.318886475
698	2.318614421
699	2.317319287
700	2.317024269
701	2.316352029
702	2.316044184
703	2.315220193
704	2.314906599
705	2.314177885
706	2.313120773
707	2.312079119
708	2.311428294
709	2.310712727
710	2.309995756
711	2.309214059
712	2.308221969
713	2.307528827
714	2.306473469
715	2.305719186
716	2.305032243
717	2.303827417
718	2.303805354
719	2.303448693
720	2.302783059
721	2.30223364
722	2.301546656
723	2.301140157
724	2.300405002
725	2.299152865
726	2.298389389
727	2.297870736
728	2.297413198
729	2.296888296
730	2.295925564
731	2.295192008
732	2.294609775
733	2.294207866
734	2.293947828
735	2.293449082
736	2.292800113
737	2.292218304
738	2.291713795
739	2.291336957
740	2.290719369
741	2.289893914
742	2.289766252
743	2.288974216
744	2.288299418
745	2.287291703
746	2.286190099
747	2.285837209
748	2.285238854
749	2.284365898
750	2.283748602
751	2.282895957
752	2.28263888
753	2.281921756
754	2.281783474
755	2.281310468
756	2.280729589
757	2.280368576
758	2.279830194
759	2.279786512
760	2.279104846
761	2.278375626
762	2.277979374
763	2.27745651
764	2.27658729
765	2.275584493
766	2.275021562
767	2.274857383
768	2.27407775
769	2.273001952
770	2.272081275
771	2.271522932
772	2.270972377
773	2.270442414
774	2.269815089
775	2.26940743
776	2.268382931
777	2.267686316
778	2.267152983
779	2.266805916
780	2.266059208
781	2.265076269
782	2.264807175
783	2.264495079
784	2.263555048
785	2.262754243
786	2.26250906
787	2.261909889
788	2.261494992
789	2.260675012
790	2.259669559
791	2.259374087
792	2.258977216
793	2.258089801
794	2.257392422
795	2.257040869
796	2.25626597
797	2.255732663
798	2.255224363
799	2.254375789
800	2.253431201
801	2.252919465
802	2.252017009
803	2.25152352
804	2.250742398
805	2.249901008
806	2.249517517
807	2.248732557
808	2.248143097
809	2.24747611
810	2.247090781
811	2.246698061
812	2.245806109
813	2.245322578
814	2.244831476
815	2.244193934
816	2.243220898
817	2.242612534
818	2.241732956
819	2.241159191
820	2.241143281
821	2.240803288
822	2.239925806
823	2.239316456
824	2.238731866
825	2.238185182
826	2.237600592
827	2.237188693
828	2.236395
829	2.23583345
830	2.23512584
831	2.234371501
832	2.233929685
833	2.233363592
834	2.232642936
835	2.231711581
836	2.230967918
837	2.230577848
838	2.230115469
839	2.229494399
840	2.229189391
841	2.228701955
842	2.227947628
843	2.227927688
844	2.227128167
845	2.226877606
846	2.226441297
847	2.225799666
848	2.225150117
849	2.224565894
850	2.224204367
851	2.223527262
852	2.22295848
853	2.222221017
854	2.221584202
855	2.221072614
856	2.220415946
857	2.220072088
858	2.219186607
859	2.218856497
860	2.218213803
861	2.21784804
862	2.217076715
863	2.216473333
864	2.215783865
865	2.21532341
866	2.214582428
867	2.214035091
868	2.213379096
869	2.21317058
870	2.212529716
871	2.21183312
872	2.210917148
873	2.210316735
874	2.209785259
875	2.209236167
876	2.209180503
877	2.208707723
878	2.208263769
879	2.20762389
880	2.206864127
881	2.206130714
882	2.205811196
883	2.205251257
884	2.204715741
885	2.204182614
886	2.203339522
887	2.202917474
888	2.202359968
889	2.201847522
890	2.201138087
891	2.199860663
892	2.199329664
893	2.199116371
894	2.198513073
895	2.19820701
896	2.197590711
897	2.197058561
898	2.196205083
899	2.1954202
900	2.194691968
901	2.194366772
902	2.194007852
903	2.193342561
904	2.19265721
905	2.192261946
906	2.191481029
907	2.191234492
908	2.19077119
909	2.189801972
910	2.189093619
911	2.189012096
912	2.188459667
913	2.187954016
914	2.187415234
915	2.186875668
916	2.186522953
917	2.185702598
918	2.184953318
919	2.184349103
920	2.18385158
921	2.183149326
922	2.182481118
923	2.181911636
924	2.181320865
925	2.181086957
926	2.180216225
927	2.179949415
928	2.17971539
929	2.178944116
930	2.178930075
931	2.178587465
932	2.178113791
933	2.177343613
934	2.176540032
935	2.176265393
936	2.175339282
937	2.174819834
938	2.174465528
939	2.17381469
940	2.1732067
941	2.173078619
942	2.172692109
943	2.171759484
944	2.171154187
945	2.170698299
946	2.170073547
947	2.169405611
948	2.1690187
949	2.16864609
950	2.168286424
951	2.167388797
952	2.166948694
953	2.166503336
954	2.16567965
955	2.165114418
956	2.164399433
957	2.1641257
958	2.163510215
959	2.162709482
960	2.162123948
961	2.161783007
962	2.161244462
963	2.160533165
964	2.159894879
965	2.159461115
966	2.15892149
967	2.158645559
968	2.15824302
969	2.157472274
970	2.156803433
971	2.156388616
972	2.156076787
973	2.155742537
974	2.155091348
975	2.154636681
976	2.153799872
977	2.153105074
978	2.152612396
979	2.152061253
980	2.151523034
981	2.15076374
982	2.150388033
983	2.149742557
984	2.14905795
985	2.148480071
986	2.147632392
987	2.147075585
988	2.146291892
989	2.145872439
990	2.145150358
991	2.144659319
992	2.14405738
993	2.143782788
994	2.143513493
995	2.142755577
996	2.142086973
997	2.141569659
998	2.140865978
999	2.140403353
