_league,_season,PLAYER,TEAM,SEASON,ROLE,ADV ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,EFF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40min,OBPM,DBPM,BPM,VORP
Euroleague,2022-2023,Abalde A.,Real Madrid,2022-2023,F,SPOT-UP SHOOTER,ESP,202,27,24,16,8,66.7,344.0,63,10,27,37.0,9,36,25.0,19,63,30.2,16,24,66.7,10,40,50,38,14,7,0,40,20,70,41,88,12.8,0.716,114.8,106.4,8.4,106.1,101.0,5.1,37.3,42.6,5.7,2.0,13.6,0.5,11.4,0.4,0.0,0.0,39.8,0.77,12.5,15.9,8.0,8.0,13.6,10.8,25.0,6.8,30.2,3.8,5.0,3.1,0.0,12.3,12.5,12.9,0.0,8.5,1.1,0.0,0.0,0.0,6.5,0.0,0.8,0.8,0.091,-2.1,0.1,-1.9,0.0
Euroleague,2022-2023,Abass A.,Virtus Bologna,2022-2023,F,SPOT-UP SHOOTER,ITA,200,30,7,2,5,28.6,117.0,47,8,14,57.1,10,17,58.8,18,31,58.1,1,1,100.0,1,6,7,5,5,4,2,9,2,40,-6,36,15.4,1.306,114.0,114.1,-0.1,122.5,107.0,15.5,74.2,75.8,5.6,2.0,25.0,1.11,8.3,0.67,2.8,0.0,44.4,1.88,0.0,13.9,5.6,8.3,5.9,5.3,13.0,0.0,12.2,1.3,0.0,2.2,0.0,5.8,7.5,4.4,0.0,3.8,1.8,1.0,1.7,0.0,14.4,0.1,0.2,0.3,0.112,0.2,0.3,0.5,0.2
Euroleague,2022-2023,Abrines A.,FC Barcelona,2022-2023,F,OFF-SCREEN SHOOTER,ESP,198,29,30,20,10,66.7,510.0,211,15,40,37.5,53,108,49.1,68,148,45.9,22,26,84.6,18,42,60,27,18,17,3,69,38,184,84,178,17.5,1.185,118.0,108.3,9.7,118.6,102.5,16.1,63.9,65.9,3.9,1.14,10.7,0.84,7.9,0.43,3.9,0.86,55.6,1.55,6.7,10.1,3.9,6.2,7.2,6.5,11.9,3.8,13.2,4.5,3.4,5.4,9.1,10.0,9.8,7.8,35.3,7.3,1.9,0.4,0.4,0.0,15.4,0.5,1.3,1.8,0.114,2.8,0.7,3.5,1.9
Euroleague,2022-2023,Adams J.,Maccabi Tel Aviv BC,2022-2023,PG,SCORER,USA,191,27,23,11,12,47.8,367.0,154,36,76,47.4,20,56,35.7,56,132,42.4,22,26,84.6,8,24,32,31,23,13,2,41,26,107,-43,167,21.4,0.922,115.1,123.6,-8.5,107.9,115.0,-7.1,50.0,53.5,7.2,1.5,28.1,0.89,10.2,0.71,2.4,3.0,31.1,0.92,7.2,13.8,9.6,4.2,11.1,11.7,14.5,6.5,15.7,2.4,2.9,2.3,0.0,8.2,10.2,5.6,14.3,5.2,2.0,0.4,0.3,0.4,12.4,0.1,0.3,0.4,0.044,-1.4,-1.0,-2.4,-0.1
Euroleague,2022-2023,Adams J.,KK Crvena zvezda,2022-2023,PG,BALL HANDLER,USA,188,27,3,0,3,0.0,58.0,17,3,11,27.3,2,9,22.2,5,20,25.0,5,5,100.0,0,6,6,8,4,2,1,10,3,6,-6,26,22.4,0.654,104.0,113.5,-9.5,88.2,103.5,-15.3,30.0,38.6,0.0,0.0,38.5,0.6,3.8,0.0,0.0,0.0,34.6,0.67,7.7,15.4,0.0,15.4,20.3,25.0,22.2,9.5,23.5,0.0,0.0,0.0,0.0,12.0,4.0,20.0,20.0,5.7,2.1,1.2,2.0,0.0,5.4,-0.1,0.1,0.0,0.006,-5.6,-0.1,-5.7,-0.1
Euroleague,2022-2023,Alexander K.,Valencia Basket,2022-2023,C,RIM RUNNER,JAM,208,26,27,13,14,48.1,397.0,154,68,103,66.0,2,12,16.7,70,115,60.9,12,18,66.7,33,51,84,11,13,8,14,52,26,176,-24,133,16.6,1.158,113.8,116.2,-2.4,118.8,107.7,11.1,61.7,64.2,39.1,1.77,29.3,0.87,9.0,0.83,0.0,0.0,9.0,0.5,3.8,9.8,2.3,7.5,3.9,2.4,8.8,0.0,7.6,10.3,10.0,10.4,12.5,16.5,15.9,17.8,14.3,13.3,1.1,2.3,3.8,0.4,16.8,0.3,0.6,0.9,0.096,-1.0,0.9,-0.1,0.4
Euroleague,2022-2023,Andjusic D.,KK Partizan,2022-2023,PG,SCORER,SRB,194,32,24,14,10,58.3,306.0,157,20,38,52.6,25,57,43.9,45,95,47.4,42,48,87.5,3,19,22,28,32,6,2,36,36,125,31,148,23.6,1.061,121.3,117.2,4.1,114.6,111.9,2.7,60.5,68.0,1.4,1.0,13.5,0.9,10.8,1.25,2.7,0.75,35.8,1.36,13.9,21.6,14.9,6.8,11.9,10.1,21.8,6.5,15.9,1.3,1.8,1.0,0.0,8.3,10.0,7.5,5.6,4.8,1.1,0.5,0.4,0.5,14.5,0.3,0.4,0.7,0.086,0.8,-3.6,-2.9,-0.2
Euroleague,2022-2023,Andrews A.,Panathinaikos Athlitikos Omilos,2022-2023,PG,SECONDARY BALL HANDLER,USA,188,30,4,1,3,25.0,79.0,33,5,12,41.7,5,8,62.5,10,20,50.0,8,9,88.9,0,6,6,7,10,3,0,9,13,32,-9,33,20.6,1.0,99.3,106.3,-7.0,104.7,100.4,4.3,62.5,71.7,3.0,0.0,18.2,0.67,15.2,1.2,6.1,3.0,18.2,1.5,9.1,30.3,15.2,15.2,13.5,19.2,20.0,0.0,17.5,0.0,0.0,0.0,0.0,8.5,11.6,4.3,0.0,4.3,2.1,0.0,0.0,0.0,10.9,0.0,0.2,0.2,0.088,-2.6,-1.3,-3.8,-0.1
Euroleague,2022-2023,Antetokounmpo K.,Fenerbahçe SK,2022-2023,C,OFF-BALL PLAYER,GRE,208,25,9,4,5,44.4,90.0,38,14,17,82.4,0,1,0.0,14,18,77.8,10,17,58.8,4,7,11,6,10,3,1,20,15,33,-30,36,19.5,1.056,99.4,116.8,-17.4,102.5,109.5,-7.0,77.8,73.1,30.6,2.0,16.7,1.0,0.0,0.0,0.0,0.0,2.8,0.0,22.2,27.8,0.0,27.8,10.9,14.3,0.0,0.0,14.3,5.0,7.7,2.9,0.0,10.0,14.8,5.6,16.7,7.3,1.8,0.7,0.0,0.0,13.0,0.0,0.1,0.1,0.049,-2.1,-0.4,-2.5,0.0
Euroleague,2022-2023,Avramovic A.,KK Partizan,2022-2023,SG,SECONDARY BALL HANDLER,SRB,192,28,20,15,5,75.0,281.0,134,36,66,54.5,17,50,34.0,53,116,45.7,11,16,68.8,6,33,39,31,20,11,4,42,26,115,94,142,25.7,0.944,130.4,111.1,19.3,115.1,100.4,14.7,53.0,54.9,17.6,1.6,24.6,0.8,4.2,0.67,2.1,0.0,33.1,1.09,4.2,14.1,9.9,4.2,13.8,10.2,25.0,12.4,17.9,3.1,4.7,1.4,0.0,14.5,7.0,24.0,13.3,9.3,2.3,1.0,1.2,0.0,15.2,0.3,0.7,1.0,0.121,-0.1,-1.4,-1.5,0.1
Euroleague,2022-2023,Bacon D.,Panathinaikos Athlitikos Omilos,2022-2023,SG/F,SCORER,USA,198,27,27,9,18,33.3,831.0,448,104,234,44.4,46,155,29.7,150,389,38.6,102,126,81.0,18,76,94,53,35,20,4,70,103,345,-25,477,28.4,0.939,110.6,114.8,-4.2,109.4,107.9,1.5,44.5,50.7,9.9,1.49,25.4,0.79,13.8,0.64,1.0,0.6,31.4,0.9,11.0,7.3,3.1,4.2,9.8,8.3,18.5,3.6,10.0,2.5,3.2,1.7,2.0,11.2,10.5,12.4,0.0,6.7,1.4,0.3,0.5,0.0,15.0,0.5,1.2,1.7,0.081,-1.0,-2.5,-3.5,-0.7
Euroleague,2022-2023,Bako I.,Virtus Bologna,2022-2023,C,POST-UP SCORER,BEL,208,27,34,14,20,41.2,528.0,206,71,106,67.0,0,0,0.0,71,106,67.0,64,73,87.7,41,49,90,14,29,18,19,83,49,233,6,168,15.8,1.226,108.4,108.0,0.4,125.5,100.2,25.3,67.0,74.1,39.3,1.76,22.0,0.65,1.8,0.67,0.0,0.0,0.0,0.0,19.6,17.3,6.0,11.3,4.0,2.4,0.0,3.0,7.7,9.5,14.2,5.8,0.0,10.9,12.4,10.6,3.8,10.2,1.9,2.4,3.4,0.6,17.1,0.7,1.2,1.9,0.146,-0.9,2.4,1.4,1.0
