_league,_season,PLAYER,TEAM,SEASON,ROLE,ADV ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,EFF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40min,OBPM,DBPM,BPM,VORP
Euroleague,2024-2025,Abalde A.,Real Madrid,2024-2025,F,SPOT-UP SHOOTER,ESP,202,29,33,20,13,60.6,608.0,183,34,60,56.7,33,75,44.0,67,135,49.6,16,18,88.9,15,62,77,48,18,15,0,60,20,194,72,160,12.7,1.144,118.0,108.9,9.1,126.7,103.9,22.8,61.9,64.4,3.8,1.67,23.1,1.3,10.6,0.59,3.1,2.4,43.8,1.24,4.4,11.3,5.6,5.6,9.5,7.3,20.4,5.2,23.1,3.0,2.3,4.2,0.0,11.0,10.5,11.8,9.1,7.3,1.3,0.0,0.0,0.0,13.0,1.1,1.5,2.5,0.138,1.0,1.4,2.3,1.8
Euroleague,2024-2025,Abrines A.,FC Barcelona,2024-2025,F,SPOT-UP SHOOTER,ESP,198,31,31,19,12,61.3,557.0,148,12,24,50.0,35,90,38.9,47,114,41.2,19,21,90.5,27,45,72,19,10,16,4,73,40,144,76,132,11.5,1.121,120.5,111.3,9.2,115.5,104.5,11.0,56.6,60.7,3.0,1.5,11.4,1.07,3.8,0.4,7.6,1.5,60.6,1.13,6.1,7.6,3.0,4.5,3.9,3.5,7.4,1.4,12.6,6.0,5.6,6.7,0.0,9.8,9.2,8.7,23.8,7.9,1.6,0.5,0.9,0.0,9.9,0.2,1.3,1.5,0.094,0.9,1.2,2.1,1.4
Euroleague,2024-2025,Ajinca M.,ASVEL Villeurbanne,2024-2025,F,SPOT-UP SHOOTER,FRA,203,21,26,10,16,38.5,388.0,147,16,32,50.0,35,82,42.7,51,114,44.7,10,11,90.9,7,25,32,9,17,2,0,45,14,73,-99,134,16.5,1.097,110.3,122.5,-12.2,102.0,116.9,-14.9,60.1,62.8,5.2,1.43,13.4,0.89,5.2,0.86,9.0,1.25,52.2,1.29,2.2,12.7,5.2,7.5,3.2,2.5,7.8,1.5,6.3,1.9,0.0,4.0,0.0,8.3,4.5,10.1,18.5,4.8,0.3,0.0,0.0,0.0,8.7,-0.1,0.3,0.2,0.022,-2.0,-2.3,-4.3,-0.5
Euroleague,2024-2025,Akele N.,Virtus Bologna,2024-2025,PF,OFF-BALL PLAYER,ITA,203,29,16,4,12,25.0,165.0,51,21,26,80.8,3,4,75.0,24,30,80.0,0,0,0.0,7,19,26,1,5,5,1,21,5,57,-15,35,10.7,1.457,113.9,115.5,-1.6,134.7,109.1,25.6,85.0,85.0,17.1,2.0,45.7,1.38,11.4,2.0,5.7,3.0,5.7,1.5,0.0,14.3,8.6,5.7,0.8,1.6,0.0,0.0,2.8,5.4,5.2,6.2,0.0,15.4,19.0,8.6,60.0,10.3,1.7,0.4,0.7,0.0,13.6,0.2,0.2,0.4,0.1,-2.2,0.6,-1.6,0.0
Euroleague,2024-2025,Anderson J.,FC Barcelona,2024-2025,F,SPOT-UP SHOOTER,USA,198,31,31,19,12,61.3,577.0,206,51,82,62.2,24,59,40.7,75,141,53.2,32,37,86.5,18,65,83,36,15,22,9,58,32,241,-36,173,14.5,1.191,114.9,117.3,-2.4,124.8,108.2,16.6,61.7,65.4,13.9,1.67,23.1,1.2,10.4,0.78,7.5,1.38,26.6,1.17,9.5,8.7,5.2,3.5,7.9,7.4,10.7,5.3,17.2,3.9,3.2,4.2,5.0,12.9,13.0,13.0,13.3,8.6,2.0,1.0,1.3,0.5,15.2,0.9,1.0,1.9,0.109,1.5,1.6,3.1,1.9
Euroleague,2024-2025,Baker R.,ALBA Berlin,2024-2025,PF,SPOT-UP SHOOTER,USA,208,27,6,1,5,16.7,85.0,38,5,12,41.7,9,20,45.0,14,32,43.8,1,2,50.0,8,9,17,2,1,3,2,7,2,36,-62,34,18.0,1.118,104.4,139.3,-34.9,110.9,123.9,-13.0,57.8,57.6,14.7,1.6,14.7,0.4,5.9,0.0,17.6,1.5,41.2,1.29,2.9,2.9,0.0,2.9,3.4,5.4,0.0,0.0,5.6,9.0,6.8,10.0,20.0,13.4,17.2,8.6,33.3,10.9,1.8,1.4,2.5,0.0,16.7,0.0,0.0,0.0,0.016,-0.3,-0.8,-1.1,0.0
Euroleague,2024-2025,Baldwin W.,Fenerbahçe SK,2024-2025,PG/SG,SCORER,USA,193,29,22,13,9,59.1,530.0,243,61,127,48.0,21,70,30.0,82,197,41.6,58,72,80.6,17,41,58,81,51,18,3,43,67,240,-20,280,25.4,0.868,114.3,115.4,-1.1,114.6,107.3,7.3,47.0,53.1,6.1,1.29,24.6,0.99,14.6,0.78,4.3,1.25,20.4,0.84,11.4,18.2,11.4,6.8,23.0,20.1,36.4,4.9,22.4,3.6,3.1,4.5,0.0,8.7,7.2,11.7,6.5,6.2,1.9,0.4,0.6,0.0,14.3,0.7,1.3,1.9,0.118,-0.4,-0.6,-1.0,0.4
Euroleague,2024-2025,Baldwin K.,Baskonia Vitoria-Gasteiz,2024-2025,PG,BALL HANDLER,USA,185,27,25,11,14,44.0,535.0,178,49,114,43.0,20,66,30.3,69,180,38.3,20,25,80.0,4,38,42,93,23,22,5,61,25,161,50,214,18.8,0.832,118.6,113.6,5.0,120.6,106.7,13.9,43.9,46.6,4.2,1.33,29.9,0.91,19.2,0.68,1.9,0.75,28.5,0.93,5.1,10.7,7.0,3.7,22.0,19.0,34.2,12.6,30.3,0.8,0.8,0.4,5.3,8.4,4.7,12.8,0.0,4.5,2.3,0.6,0.8,0.3,11.9,0.7,0.9,1.6,0.119,-1.3,-1.4,-2.7,-0.2
Euroleague,2024-2025,Bango J.,Fenerbahçe SK,2024-2025,C,OFF-BALL PLAYER,ANG,208,26,8,5,3,62.5,57.0,21,8,13,61.5,0,0,0.0,8,13,61.5,5,5,100.0,6,8,14,1,4,2,1,11,6,25,-8,19,16.2,1.105,112.4,121.2,-8.8,117.1,110.8,6.3,61.5,70.0,31.6,1.33,31.6,1.33,5.3,0.0,0.0,0.0,0.0,0.0,10.5,21.1,10.5,10.5,2.5,0.0,0.0,0.0,5.0,13.3,15.0,12.5,0.0,17.4,26.3,13.0,0.0,15.4,1.9,1.1,1.7,0.0,14.7,0.0,0.1,0.1,0.078,-3.1,0.5,-2.6,0.0
Euroleague,2024-2025,Bean J.,ALBA Berlin,2024-2025,F/PF,SPOT-UP SHOOTER,USA,201,28,13,1,12,7.7,255.0,76,20,40,50.0,9,20,45.0,29,60,48.3,9,12,75.0,27,35,62,13,9,9,5,17,24,126,-42,73,13.2,1.041,107.3,119.1,-11.8,117.6,110.1,7.5,55.8,59.4,21.9,1.5,27.4,0.8,5.5,0.0,4.1,1.0,23.3,1.41,5.5,12.3,4.1,8.2,6.3,5.4,11.1,4.9,15.1,11.4,6.7,17.2,11.1,17.1,20.4,14.9,11.1,14.0,1.9,1.3,2.4,0.0,14.8,0.2,0.4,0.5,0.083,-1.6,1.8,0.2,0.3
