_league,_season,PLAYER,TEAM,SEASON,ROLE,ADV ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,EFF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40min,OBPM,DBPM,BPM,VORP
Euroleague,2021-2022,Blazevic M.,BC Zalgiris,2021-2022,F/PF,POST-UP SCORER,LTU,209,20,27,6,21,22.2,321.0,153,58,107,54.2,0,1,0.0,58,108,53.7,37,45,82.2,37,33,70,21,31,10,4,67,46,143,-34,158,24.8,0.968,116.9,124.0,-7.1,106.3,113.2,-6.9,53.7,60.4,29.1,1.43,31.0,0.78,7.6,1.0,0.0,0.0,0.0,0.0,11.8,19.6,10.1,9.5,10.1,14.7,0.0,2.8,11.7,14.5,19.4,10.1,0.0,13.8,13.2,16.7,0.0,14.1,1.8,0.8,1.0,0.0,17.9,0.2,0.2,0.4,0.044,-1.1,-1.1,-2.3,0.0
Euroleague,2021-2022,Bochoridis E.,Panathinaikos Athlitikos Omilos,2021-2022,SG,SECONDARY BALL HANDLER,GRE,196,28,19,5,14,26.3,221.0,39,9,25,36.0,7,29,24.1,16,54,29.6,0,2,0.0,7,12,19,25,16,6,1,45,18,4,-42,71,16.1,0.549,101.3,111.5,-10.2,89.0,106.1,-17.1,36.1,35.5,8.5,1.0,14.1,0.4,12.7,0.89,4.2,0.0,36.6,0.81,1.4,22.5,11.3,11.3,16.0,12.6,33.3,4.9,26.0,3.8,5.0,2.6,0.0,6.5,6.5,7.1,0.0,5.1,1.6,0.3,0.5,0.0,2.1,-0.2,0.3,0.1,0.015,-5.2,-2.4,-7.6,-0.7
Euroleague,2021-2022,Bolomboy J.,PBC CSKA Moscow,2021-2022,PF/C,RIM RUNNER,RUS,206,28,23,14,9,60.9,362.0,135,51,85,60.0,6,23,26.1,57,108,52.8,15,20,75.0,39,55,94,8,12,6,16,32,24,177,12,129,17.3,1.047,109.2,105.5,3.7,112.3,96.9,15.4,55.6,57.9,32.6,1.67,24.0,0.84,9.3,0.5,8.5,0.82,8.5,0.82,6.6,9.3,3.9,5.4,3.4,1.8,7.8,0.0,5.8,11.8,16.8,7.4,0.0,18.8,18.7,18.3,25.0,15.1,0.9,3.0,3.8,0.0,18.4,0.3,0.8,1.1,0.123,-0.8,0.6,-0.2,0.4
Euroleague,2021-2022,Booker D.,Fenerbahçe SK,2021-2022,C,POST-UP CREATOR,USA,205,31,29,13,16,44.8,705.0,264,95,154,61.7,14,38,36.8,109,192,56.8,32,42,76.2,50,78,128,45,42,21,6,68,58,317,-42,254,18.6,1.039,107.3,110.6,-3.3,110.3,103.7,6.6,60.4,62.3,24.0,1.8,25.2,0.81,11.4,0.97,2.0,1.8,13.0,1.0,7.9,16.5,8.7,7.9,9.6,7.8,16.0,6.3,15.1,9.2,10.3,8.9,3.2,13.8,15.3,13.1,15.0,11.5,1.7,0.6,0.6,0.0,16.1,0.5,1.1,1.6,0.09,-0.1,1.3,1.1,1.2
Euroleague,2021-2022,Boutsiele J.,AS Monaco Basket,2021-2022,C,POST-UP SCORER,FRA,208,29,15,8,7,53.3,178.0,28,12,26,46.2,0,0,0.0,12,26,46.2,4,15,26.7,19,22,41,6,3,0,1,23,17,41,-5,36,9.8,0.778,104.2,103.8,0.4,104.3,100.5,3.8,46.2,42.4,13.9,2.0,27.8,1.0,30.6,0.36,0.0,0.0,0.0,0.0,19.4,8.3,0.0,8.3,4.4,2.6,0.0,3.3,14.3,11.4,10.8,13.4,6.3,14.9,9.5,14.3,50.0,13.0,0.0,0.4,0.6,0.0,8.4,0.0,0.4,0.4,0.086,-2.6,-0.7,-3.3,-0.1
Euroleague,2021-2022,Brantley J.,BC UNICS,2021-2022,PF/C,SPOT-UP SHOOTER,USA,201,26,23,12,11,52.2,298.0,75,25,63,39.7,4,28,14.3,29,91,31.9,13,19,68.4,13,24,37,12,13,21,3,36,21,45,-74,112,19.0,0.67,96.4,109.7,-13.3,80.1,99.5,-19.4,34.1,37.9,17.9,1.4,25.9,0.69,12.5,0.14,3.6,0.0,21.4,0.5,7.1,11.6,4.5,7.1,6.0,5.6,11.1,0.0,9.7,5.1,4.9,4.3,15.4,9.9,11.5,8.7,7.1,7.4,3.9,0.7,0.4,0.0,7.6,-0.5,0.6,0.1,0.012,-5.8,1.7,-4.0,-0.3
Euroleague,2021-2022,Brown L.,BC UNICS,2021-2022,PG,SHOT CREATOR,USA,196,31,24,13,11,54.2,705.0,330,99,173,57.2,28,87,32.2,127,260,48.8,48,56,85.7,19,68,87,146,69,36,4,45,75,416,67,354,25.0,0.932,109.6,104.5,5.1,121.6,97.5,24.1,54.2,58.0,6.5,1.91,24.3,1.12,18.1,0.91,1.4,0.6,23.2,0.99,6.9,19.5,11.9,7.6,31.5,29.4,42.0,22.5,29.2,3.2,3.5,3.2,0.0,12.0,12.3,12.8,0.0,7.5,2.9,0.4,0.3,0.5,20.3,1.9,1.6,3.4,0.194,3.1,0.0,3.0,1.9
Euroleague,2021-2022,Brown J.,BC UNICS,2021-2022,PF/C,RIM RUNNER,USA,205,30,25,13,12,52.0,768.0,257,106,208,51.0,2,15,13.3,108,223,48.4,39,65,60.0,50,69,119,31,26,69,3,61,69,313,86,275,17.8,0.935,109.9,103.2,6.7,106.2,92.2,14.0,48.9,51.6,18.9,1.31,31.6,0.99,25.1,0.84,0.0,0.0,5.5,0.4,9.5,9.5,2.2,7.3,5.8,3.2,12.5,1.1,10.1,7.5,5.0,10.9,8.3,11.0,9.2,11.3,25.0,9.2,5.1,0.3,0.3,0.0,16.3,0.3,2.2,2.4,0.126,-1.1,4.3,3.2,2.2
Euroleague,2021-2022,Bryant E.,Anadolu Efes Istanbul,2021-2022,PG/SG,SCORER,USA,196,27,30,18,12,60.0,532.0,154,44,87,50.6,17,52,32.7,61,139,43.9,15,19,78.9,18,66,84,37,26,17,4,63,32,146,43,172,16.7,0.895,117.5,108.9,8.6,102.7,100.6,2.1,50.0,52.7,9.3,1.38,36.0,1.03,5.2,0.22,8.1,1.29,22.1,0.87,4.1,15.1,5.2,9.9,9.0,9.4,12.8,3.6,17.7,4.2,2.9,5.9,0.0,13.4,12.9,15.2,0.0,9.1,1.8,0.5,0.6,0.0,11.2,0.1,1.4,1.5,0.089,-0.9,0.6,-0.3,0.6
Euroleague,2021-2022,Caicedo Sanchez M.,FC Barcelona,2021-2022,SG/F,SCORER,ESP,198,19,10,7,3,70.0,94.0,23,8,17,47.1,2,8,25.0,10,25,40.0,1,2,50.0,5,10,15,6,6,2,0,12,3,15,-37,31,15.7,0.742,98.8,118.3,-19.5,91.4,113.4,-22.0,44.0,46.0,22.6,2.0,25.8,0.0,6.5,1.0,0.0,0.0,25.8,0.75,0.0,19.4,6.5,12.9,9.0,12.5,8.3,0.0,16.2,6.5,4.7,10.0,0.0,13.7,19.4,10.0,0.0,10.0,1.2,0.0,0.0,0.0,6.5,-0.1,0.1,0.0,-0.003,-3.4,0.3,-3.1,-0.1
