_league,_season,PLAYER,TEAM,SEASON,ROLE,ADV ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,EFF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40min,OBPM,DBPM,BPM,VORP
Euroleague,2023-2024,Abalde A.,Real Madrid,2023-2024,F,SCORER,ESP,202,28,22,18,4,81.8,295.0,79,9,18,50.0,18,45,40.0,27,63,42.9,7,8,87.5,6,39,45,16,5,10,1,25,9,91,45,72,14.3,1.097,132.6,103.1,29.5,121.8,98.0,23.8,57.1,59.0,4.2,1.33,16.7,0.83,4.2,1.33,1.4,0.0,61.1,1.23,5.6,6.9,2.8,4.2,7.1,6.7,9.8,5.0,18.2,2.6,1.9,3.4,0.0,13.7,11.3,17.4,11.1,8.8,1.9,0.2,0.3,0.0,11.7,0.3,0.8,1.1,0.141,0.4,1.4,1.9,0.6
Euroleague,2023-2024,Abass A.,Virtus Bologna,2023-2024,F,SPOT-UP SHOOTER,ITA,200,31,29,15,14,51.7,352.0,117,21,39,53.8,22,68,32.4,43,107,40.2,9,11,81.8,17,31,48,12,6,11,2,30,11,95,-98,118,18.6,0.992,117.8,115.6,2.2,105.0,111.5,-6.5,50.5,52.2,15.3,1.56,12.7,0.8,5.1,0.33,9.3,1.36,48.3,0.89,4.2,5.1,1.7,3.4,5.0,3.9,12.8,0.0,9.2,5.4,6.5,4.9,0.0,10.7,10.7,8.8,22.2,7.9,1.7,0.4,0.6,0.0,12.1,0.0,0.6,0.6,0.061,-1.0,-1.3,-2.2,-0.1
Euroleague,2023-2024,Abrines A.,FC Barcelona,2023-2024,F,OFF-SCREEN SHOOTER,ESP,198,30,22,14,8,63.6,368.0,145,15,25,60.0,33,73,45.2,48,98,49.0,16,18,88.9,14,30,44,8,13,11,7,47,37,140,52,118,17.8,1.229,138.9,108.0,30.9,118.6,102.7,15.9,65.8,69.0,4.2,1.6,12.7,1.07,4.2,1.2,5.1,1.0,55.9,1.41,5.9,11.0,5.9,5.1,2.7,2.2,9.1,0.0,6.4,4.4,3.9,5.7,0.0,8.8,8.1,9.2,12.0,6.6,1.7,1.2,1.3,0.5,14.2,0.3,1.0,1.4,0.117,1.8,1.4,3.2,1.3
Euroleague,2023-2024,Alocen C.,Real Madrid,2023-2024,SG,SCORER,ESP,194,23,10,9,1,90.0,105.0,18,6,21,28.6,1,11,9.1,7,32,21.9,3,5,60.0,1,15,16,17,8,2,1,12,13,18,6,42,22.7,0.429,130.2,108.1,22.1,85.8,105.9,-20.1,23.4,26.5,2.4,0.0,35.7,0.67,11.9,0.4,4.8,0.0,21.4,0.33,4.8,19.0,11.9,7.1,20.5,18.2,40.0,5.3,28.8,1.2,2.0,0.0,0.0,16.0,14.8,18.4,0.0,9.0,1.1,0.6,0.9,0.0,1.6,-0.2,0.2,0.0,-0.005,-9.4,-0.4,-9.8,-0.4
Euroleague,2023-2024,Anderson J.,Valencia Basket,2023-2024,F,SPOT-UP SHOOTER,USA,198,30,18,5,13,27.8,338.0,110,28,49,57.1,15,45,33.3,43,94,45.7,9,13,69.2,6,33,39,11,15,8,4,37,11,69,-68,115,19.7,0.957,121.5,111.8,9.7,87.9,107.8,-19.9,53.7,55.0,18.3,1.71,15.7,0.67,8.7,0.8,8.7,0.6,29.6,1.15,5.2,13.0,5.2,7.8,4.6,4.7,5.6,3.6,8.7,2.2,2.1,2.5,0.0,11.0,9.5,11.9,18.8,6.8,1.3,0.7,0.9,0.5,9.2,-0.4,0.6,0.2,0.019,-3.3,1.1,-2.2,0.0
Euroleague,2023-2024,Andjusic D.,KK Partizan,2023-2024,PG,SCORER,SRB,194,33,27,13,14,48.1,366.0,140,22,50,44.0,20,50,40.0,42,100,42.0,36,38,94.7,5,27,32,18,15,7,3,32,45,134,65,131,20.4,1.069,143.9,114.8,29.1,116.6,110.4,6.2,52.0,60.3,3.8,2.0,17.6,0.61,16.8,0.91,3.1,1.5,34.4,1.2,12.2,11.5,6.9,4.6,6.0,3.2,17.0,4.9,12.1,1.8,0.8,3.1,0.0,9.7,9.6,10.4,0.0,5.8,1.1,0.6,0.7,0.4,12.7,0.3,0.5,0.8,0.088,-0.7,-2.2,-2.9,-0.2
Euroleague,2023-2024,Antetokounmpo K.,Panathinaikos Athlitikos Omilos,2023-2024,C,OFF-BALL PLAYER,GRE,208,26,23,17,6,73.9,192.0,74,29,45,64.4,0,0,0.0,29,45,64.4,16,38,42.1,20,27,47,4,11,7,18,43,43,98,8,72,21.7,1.028,129.6,99.2,30.4,103.5,89.4,14.1,64.4,60.7,41.7,1.87,20.8,0.13,0.0,0.0,0.0,0.0,0.0,0.0,22.2,15.3,2.8,12.5,3.2,1.6,0.0,0.0,5.3,11.8,14.5,10.7,6.3,15.3,13.3,19.1,11.1,13.6,2.0,6.0,6.2,2.8,16.6,-0.2,0.8,0.6,0.111,-4.3,4.2,-0.1,0.2
Euroleague,2023-2024,Avramovic A.,KK Partizan,2023-2024,SG,SCORER,SRB,192,29,24,12,12,50.0,450.0,245,68,101,67.3,26,88,29.5,94,189,49.7,31,40,77.5,8,34,42,44,32,17,4,43,43,210,46,238,31.2,1.029,141.4,115.8,25.6,117.4,109.6,7.8,56.6,59.5,17.6,1.57,22.3,1.25,2.5,0.67,2.1,0.0,33.6,0.98,7.1,13.4,8.0,5.5,13.8,9.2,36.1,6.7,15.6,2.6,2.1,3.4,0.0,9.7,8.5,11.3,5.3,6.3,2.2,0.6,0.5,0.7,18.3,0.7,0.6,1.3,0.117,1.7,-2.8,-1.1,0.2
Euroleague,2023-2024,Balcerowski A.,Panathinaikos Athlitikos Omilos,2023-2024,C,RIM RUNNER,POL,215,23,23,14,9,60.9,174.0,68,22,35,62.9,1,9,11.1,23,44,52.3,21,30,70.0,13,16,29,7,6,6,10,36,28,73,-12,63,20.1,1.079,122.9,115.9,7.0,104.0,109.1,-5.1,53.4,60.2,30.2,1.58,22.2,1.0,3.2,0.0,0.0,0.0,14.3,0.33,19.8,9.5,0.0,9.5,6.1,5.7,9.3,0.0,10.0,8.7,11.4,6.7,0.0,11.5,9.1,11.1,33.3,10.0,2.0,3.8,5.7,0.0,15.9,-0.1,0.3,0.2,0.044,-1.3,3.3,2.0,0.4
Euroleague,2023-2024,Baldwin W.,Maccabi Tel Aviv BC,2023-2024,PG/SG,BALL HANDLER,USA,193,28,27,16,11,59.3,763.0,478,115,243,47.3,39,100,39.0,154,343,44.9,131,152,86.2,9,65,74,131,75,29,4,52,155,527,31,482,32.9,0.992,137.1,116.7,20.4,120.3,111.0,9.3,50.6,58.7,6.8,1.64,26.3,0.85,17.2,0.82,1.2,1.5,19.3,1.16,13.3,15.6,8.9,6.6,23.6,19.2,49.6,8.7,21.4,1.3,1.0,1.1,5.3,10.0,10.0,10.8,0.0,5.5,2.0,0.3,0.3,0.2,20.2,2.2,1.0,3.2,0.154,3.2,-2.5,0.7,1.2
